商场名,经度,纬度,地址
家乐福,31.241658,121.424219,上海市普陀区白玉路101号
家乐福,31.250855,121.464146,上海市闸北区共和路251号
家乐福,31.279449,121.515238,上海市杨浦区锦西路134号
家乐福,31.199544,121.480453,上海市黄浦区龙华东路810号206室
家乐福(徐汇店),31.200254,121.457315,上海市徐汇区斜土路1995号
家乐福(张江店),31.20911,121.645061,上海市浦东新区张东路2201弄-88号
家乐福(宜山店),31.190319,121.435064,上海市徐汇区宜山路425号
家乐福(上海联洋店),31.234111,121.565722,上海市浦东新区芳甸路199弄-2楼-9-～11室
家乐福(曲阳店),31.285281,121.497934,上海市虹口区曲阳路566-1-临
家乐福(中星城店),31.165202,121.434854,上海市徐汇区浦北路9号
家乐福(真北店),31.265873,121.400901,上海市普陀区桃浦路328号
家乐福(上海金桥店),31.245352,121.587649,上海市浦东新区碧云路555号-2楼
家乐福(上海中山公园店),31.225198,121.422577,上海市长宁区长宁路1028号
家乐福(成山店),31.180921,121.526647,上海市浦东新区杨高南路3303号2207号
家乐福(上海万里店),31.273915,121.417475,上海市普陀区新村路1500-3号
家乐福(威宁店),31.22003,121.392106,上海市长宁区威宁路410号
家乐福(新里城店),31.166773,121.530566,上海市浦东新区高青路2671号
家乐福(上海川沙店),31.187559,121.698536,上海市浦东新区翔川路
家乐福(上海巨峰店),31.286636,121.599197,上海市浦东新区利津路209号
家乐福(上海古北店),31.202414,121.400667,上海市长宁区水城南路268号17B18B
家乐福(南翔店),31.305498,121.331487,上海市嘉定区丰翔路3168号
家乐福(上海虹口店),31.277056,121.483839,上海市虹口区西江湾路388号-a座-5层
家乐福(上海南方店),31.138458,121.406915,上海市闵行区万源路50弄-53号
家乐福(荣乐店),31.023601,121.203116,上海市松江区三新路
家乐福(上海武宁店),31.242338,121.434123,上海市普陀区武宁路20号8号铺
家乐福(上海徐泾店),31.174202,121.289992,上海市青浦区沪青平公路1829号
easy家乐福,31.261429,121.446979,上海市普陀区远景路488号
家乐福(浦江店),31.100981,121.510443,上海市闵行区陈行公路2690号
家乐福(上海莘庄店),31.112613,121.393196,上海市闵行区都市路5001号-3层
家乐福(上海宝山店),31.33288,121.451424,上海市宝山区共江路1208
家乐福(星游城店),31.191721,121.449244,上海市徐汇区天钥桥路576
家乐福服务中心,31.202023,121.400664,上海市长宁区水城南路268号-5楼
家乐福七宝店,31.170112,121.346639,上海市闵行区七莘路3655号-1楼
家乐福(上海宝龙城市广场店),31.272717,121.660507,上海市浦东新区X581(金海路)
家乐福购物卡办理处,31.276755,121.484017,上海市虹口区西江湾路388号-a座-5层
家乐福游乐场,31.265863,121.400532,上海市普陀区桃浦路526号
家乐福(万达店),31.246587,121.329291,上海市嘉定区金沙江西路1075弄-1号
家乐福easy便利店,31.201479,121.405662,上海市长宁区古北路1119号
家乐福easy便利店,31.184216,121.371928,上海市闵行区黄桦路78号
家乐福(漕盈店),31.149804,121.100729,上海市青浦区漕盈路
沃尔玛(田林店),31.177211,121.423412,上海市徐汇区桂林路402号
沃尔玛(南浦大桥店),31.209492,121.5242,上海市浦东新区临沂北路252-～262号
沃尔玛(上南店),31.184702,121.51022,上海市浦东新区齐河路226号
沃尔玛(三林店),31.148044,121.532597,上海市浦东新区东明路2724
沃尔玛(桃浦店),31.287989,121.356471,上海市普陀区武威路1156号
沃尔玛(甘泉店),31.275567,121.436502,上海市普陀区平利路18号
沃尔玛(凌云店),31.143115,121.437751,上海市徐汇区老沪闵路809
沃尔玛(虹桥店),31.192716,121.385195,上海市闵行区虹中路535-临
沃尔玛(高行万嘉店),31.299552,121.617928,上海市浦东新区东靖路2011号
沃尔玛(施湾店),31.151043,121.761661,上海市浦东新区施湾四路
沃尔玛(上海松江松汇路店),31.01122,121.241161,上海市松江区庙前街34号
沃尔玛(杨行店),31.372225,121.4487,上海市宝山区水产路2599号-3楼
沃尔玛超市(上海五角场店),31.30777,121.520432,上海市杨浦区淞沪路111号
沃尔玛(祁连店),31.321042,121.389479,上海市宝山区聚丰园路191号
沃尔玛(宝山万达店),31.330352,121.454105,上海市宝山区一二八纪念路1056号
沃尔玛超市(顾村分店),31.358627,121.388124,上海市宝山区沪太路4935号
沃尔玛(江桥分店),31.26599,121.35267,上海市嘉定区曹安公路2118号-1023室
沃尔玛车库洗车房,31.193539,121.384335,上海市闵行区虹中路535号
大润发,31.298638,121.311364,上海市嘉定区德华路725号
大润发(三林店),31.155303,121.498261,上海市浦东新区长清路1200号-1层-b10-12室
大润发(杨浦店),31.294889,121.528995,上海市杨浦区国权东路175号
大润发(康桥店),31.140207,121.585954,上海市浦东新区秀沿路1080号
大润发(俞泾港路店),31.272873,121.47299,上海市闸北区平型关路108弄-6号
大润发(大宁店),31.280169,121.457877,上海市闸北区共和新路2008号
大润发(闸北店),31.304295,121.454122,上海市闸北区江场西路77号
大润发(春申店),31.113784,121.414874,上海市闵行区春申路768号
大润发(华漕店),31.216502,121.299113,上海市闵行区繁兴路399弄-2号
大润发(曹安店),31.258285,121.368344,上海市嘉定区新郁路835号
大润发(大华店),31.286486,121.427753,上海市宝山区华灵路1051
大润发(泥城店),30.915419,121.826707,上海市浦东新区南芦公路1747号
大润发(奉贤店),30.912143,121.451125,上海市奉贤区南亭公路601号
大润发(松江店),31.023686,121.225443,上海市松江区荣乐中路622号
大润发(曹安公路辅路),31.29383,121.16688,上海市嘉定区G312(曹安公路)
大润发(三湘商业广场店),31.122917,121.265568,上海市松江区横港路18弄-216号
大润发(榆中路),31.261247,121.332441,上海市嘉定区靖远路1200-153号
大润发电动自行车专卖厅,31.280464,121.457892,上海市闸北区共和新路2008号
上海金一黄金银楼大润发(美兰湖店),31.41522,121.357916,上海市宝山区月罗公路2366号
大润发(上海泗泾店),31.027312,121.23082,上海市松江区松江人民北路
麦德龙(上海浦东商场店),31.21127,121.563644,上海市浦东新区龙阳路
麦德龙(虹口店),31.295965,121.474235,上海市虹口区广粤路418号-1楼
麦德龙(闵行店),31.154321,121.413711,上海市闵行区平吉路31
麦德龙,30.73866,121.333766,上海市金山区城河路327号
麦德龙培训厨房,31.248824,121.391781,上海市普陀区真北路1425号
麦德龙(马陆店),31.332308,121.274495,上海市嘉定区宝安公路3670号
麦德龙(松江店),31.061578,121.247135,上海市松江区松良路
麦德龙(西藏南路商场),31.230056,121.486947,上海市黄浦区西藏南路28
麦德龙(上海青浦商场店),31.152076,121.152903,上海市青浦区崧文南路
