销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
295148 ,30962 ,10.5%,湖州市,德清县,兔宝宝,德华兔宝宝装饰新材股份有限公司,建材与构件,兔宝宝(002043),浙江省德清县洛舍镇工业区,浙江省德清县武康镇临溪街588号,www.tubaobao.com,2005/5/10
405122 ,30729 ,7.6%,杭州市,下城区,杭州解百,杭州解百集团股份有限公司,百货零售,杭州解百(600814),浙江省杭州市上城区解放路251号,浙江省杭州市下城区环城北路208号坤和中心36-37楼,www.jiebai.com,1994/1/14
817631 ,30377 ,3.7%,台州市,椒江区,海正药业,浙江海正药业股份有限公司,制药,海正药业(600267),浙江省台州市椒江区外沙路46号,浙江省台州市椒江区外沙路46号,www.hisunpharm.com,2000/7/25
107895 ,30373 ,28.2%,嘉兴市,海宁市,兄弟科技,兄弟科技股份有限公司,通用化工品,兄弟科技(002562),浙江省海宁市周王庙镇联民村蔡家石桥3号,浙江省海宁市海洲街道学林街1号,www.brother.com.cn,2011/3/10
234058 ,30015 ,12.8%,绍兴市,诸暨市,露笑科技,露笑科技股份有限公司,有色金属,露笑科技(002617),浙江省诸暨市店口镇露笑路38号,浙江省诸暨市店口镇露笑路38号,www.roshowtech.com,2011/9/20
72347 ,29954 ,41.4%,杭州市,西湖区,钱江水利,钱江水利开发股份有限公司,水务,钱江水利(600283),浙江省杭州市三台山路3号,浙江省杭州市三台山路3号,www.qjwater.com,2000/10/18
117495 ,29795 ,25.4%,杭州市,滨江区,泰格医药,杭州泰格医药科技股份有限公司,医疗保健服务,泰格医药(300347),浙江省杭州市滨江区江南大道618号东冠大厦1502-1,浙江省杭州市滨江区江南大道618号东冠大厦15-16层,www.tigermed.net,2012/8/17
238630 ,29748 ,12.5%,宁波市,海曙区,宁波富达,宁波富达股份有限公司,不动产投资开发,宁波富达(600724),浙江省余姚市阳明西路355号,浙江省宁波市海曙区解放南路208号建设大厦18-19楼,www.fuda.com,1996/7/16
298289 ,29677 ,9.9%,宁波市,宁海县,双林股份,宁波双林汽车部件股份有限公司,汽车零配件（IV）,双林股份(300100),浙江省宁波市宁海县西店镇潢溪口,浙江省宁波市宁海县西店镇潢溪口,www.shuanglin.cn,2010/8/6
227836 ,29249 ,12.8%,温州市,永嘉县瓯北镇东瓯工业区,红蜻蜓,江红蜻蜓鞋业股份有限公司,鞋类,红蜻蜓(603116),浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,www.cnhqt.com,2015/6/29
635361 ,29054 ,4.6%,杭州市,西湖区,南都电源,浙江南都电源动力股份有限公司,电子电气组件与设备,南都电源(300068),浙江省临安市青山湖街道景观大道72号,浙江省杭州市紫荆花路50号A座9楼,www.naradapower.com,2010/4/21
105682 ,28306 ,26.8%,绍兴市,上虞区,卧龙地产,卧龙地产集团股份有限公司,不动产投资开发,卧龙地产(600173),浙江省绍兴市上虞区经济开发区,浙江省绍兴市上虞区经济开发区人民西路1801号,www.wolong-Re.com,1999/4/15
154596 ,27964 ,18.1%,绍兴市,新昌县,京新药业,浙江京新药业股份有限公司,制药,京新药业(002020),浙江省新昌县羽林街道新昌大道东路800号,浙江省新昌县羽林街道新昌大道东路800号,www.jingxinpharm.com,2004/7/15
292295 ,27874 ,9.5%,湖州市,吴兴区,永兴特钢,永兴特种不锈钢股份有限公司,钢铁,永兴特钢(002756),浙江省湖州市杨家埠,浙江省湖州市杨家埠,www.yongxingbxg.com,2015/5/15
211539 ,27871 ,13.2%,台州市,椒江区,杰克股份,杰克缝纫机股份有限公司,工业机械,杰克股份(603337),浙江省台州市椒江区机场南路15号,浙江省台州市椒江区机场南路15号,www.chinajack.com,2017/1/19
233203 ,27692 ,11.9%,嘉兴市,海宁市马桥镇经编产业园区,海利得,浙江海利得新材料股份有限公司,通用化工品,海利得(002206),浙江省海宁市马桥镇经编园区内,浙江省海宁市马桥镇经编产业园区新民路18号,www.halead.com,2008/1/23
244823 ,27248 ,11.1%,杭州市,淳安县,康盛股份,浙江康盛股份有限公司,工业机械,康盛股份(002418),浙江省杭州市淳安县千岛湖镇康盛路268号,浙江省杭州市淳安县千岛湖镇康盛路268号,www.kasun.cn,2010/6/1
86588 ,26832 ,31.0%,湖州市,德清县,浙江鼎力,浙江鼎力机械股份有限公司,工业机械,浙江鼎力(603338),浙江省德清县雷甸镇白云南路1255号,浙江省德清县雷甸镇白云南路1255号,www.cndingli.com,2015/3/25
131174 ,26392 ,20.1%,宁波市,北仑区,继峰股份,宁波继峰汽车零部件股份有限公司,汽车零配件（IV）,继峰股份(603997),浙江省宁波市北仑区大?\璎珞河路17号,浙江省宁波市北仑区大?\璎珞河路17号,www.nb-jf.com,2015/3/2
465023 ,26388 ,5.7%,杭州市,下城区,杭氧股份,杭州杭氧股份有限公司,工业机械,杭氧股份(002430),浙江省临安市青山湖街道东环路99号,浙江省杭州市下城区中山北路592号弘元大厦,www.hangyang.com,2010/6/10
125747 ,26229 ,20.9%,杭州市,余杭区,晶盛机电,浙江晶盛机电股份有限公司,工业机械,晶盛机电(300316),浙江省绍兴市上虞区通江西路218号,浙江省杭州市余杭区五常街道创智天地中心2号楼10楼,www.jsjd.cc,2012/5/11
459592 ,25635 ,5.6%,宁波市,北仑区,宁波联合,宁波联合集团股份有限公司,综合供应商,宁波联合(600051),浙江省宁波经济技术开发区东海路1号联合大厦,浙江省宁波开发区东海路1号联合大厦,www.nug.com.cn,1997/4/10
421796 ,23867 ,5.7%,宁波市,鄞州区,博威合金,宁波博威合金材料股份有限公司,有色金属,博威合金(601137),浙江省宁波市鄞州区云龙镇太平桥,浙江省宁波市鄞州区鄞州大道东段1777号博威大厦11楼,www.pwalloy.com,2011/1/27
206527 ,23829 ,11.5%,杭州市,西湖区,浙大网新,浙大网新科技股份有限公司,计算机服务,浙大网新(600797),浙江省杭州市西湖区三墩镇西园一路18号浙大网新软件园A楼1501室,浙江省杭州市西园一路18号浙大网新软件园A楼15层,www.insigma.com.cn,1997/4/18
99604 ,23599 ,23.7%,嘉兴市,海宁市海宁经济开发区,安正时尚,安正时尚集团股份有限公司,服装与服饰,安正时尚(603839),浙江省海宁市海宁经济开发区谷水路298号,浙江省海宁市海宁经济开发区谷水路298号,www.anzhenggroup.com,2017/2/14
48777 ,23584 ,48.4%,金华市,婺城新区,艾格拉斯,艾格拉斯股份有限公司,互联网,艾格拉斯(002619),浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）,浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）,www.zjjlgy.com,2011/9/29
290609 ,23297 ,8.0%,台州市,黄岩区,联化科技,联化科技股份有限公司,特种化工品,联化科技(002250),浙江省台州市黄岩区江口经济开发区永椒路8号,浙江省台州市黄岩区劳动北路总商会大厦17楼,www.lianhetech.com,2008/6/19
87015 ,22839 ,26.2%,杭州市,西湖区,通策医疗,通策医疗投资股份有限公司,医疗保健服务,通策医疗(600763),浙江省杭州市上城区平海路57号,浙江省杭州市灵溪北路21号合生国贸中心5号楼10楼,www.tcmedical.com.cn,1996/10/30
1199543 ,22822 ,1.9%,杭州市,萧山区,传化智联,传化智联股份有限公司,特种化工品,传化智联(002010),浙江省杭州市萧山经济技术开发区,浙江省杭州市萧山区民和路945号传化大厦16F,www.transfarchem.com,2004/6/29
129745 ,22766 ,17.5%,宁波市,鄞州工业园区,东睦股份,东睦新材料集团股份有限公司,有色金属,东睦股份(600114),浙江省宁波市鄞州工业园区（姜山）景江路8号,浙江省宁波市鄞州工业园区（姜山）景江路8号,www.pm-china.com,2004/5/11
547600 ,22736 ,4.2%,杭州市,建德市,新安股份,浙江新安化工集团股份有限公司,特种化工品,新安股份(600596),浙江省建德市江滨中路新安大厦1号,浙江省建德市江滨中路新安大厦1号,www.wynca.com,2001/9/6
227299 ,22498 ,9.9%,温州市,永嘉县,奥康国际,浙江奥康鞋业股份有限公司,鞋类,奥康国际(603001),浙江省永嘉县瓯北镇东瓯工业区奥康工业园,浙江省永嘉县瓯北镇千石工业区奥康工业园,www.aokang.com,2012/4/26
171824 ,22443 ,13.1%,台州市,椒江区,信质电机,信质电机股份有限公司,工业机械,信质电机(002664),浙江省台州市椒江区前所信质路28号,浙江省台州市椒江区前所信质路28号,www.chinaxinzhi.com,2012/3/16
973245 ,22244 ,2.3%,宁波市,江东区,宁波建工,宁波建工股份有限公司,建筑施工,宁波建工(601789),浙江省宁波市鄞州区兴宁路46号,浙江省宁波市江东区宁穿路538号,www.jiangong.com.cn,2011/8/16
44889 ,21817 ,48.6%,杭州市,滨江区,天夏智慧,天夏智慧城市科技股份有限公司,软件与计算机服务,天夏智慧(000662),广西壮族自治区梧州市新兴二路137号,浙江省杭州市滨江区六和路368号1幢北四楼A4068室,www.txgis.com,1996/12/16
104049 ,21608 ,20.8%,杭州市,余杭区,银都股份,银都餐饮设备股份有限公司,商业辅助服务,银都股份(603277),浙江省杭州市余杭区星桥街道星星路1号,浙江省杭州市余杭区星桥街道星星路1号,www.yinduchina.com,2017/9/11
183995 ,21392 ,11.6%,杭州市,西湖区,双环传动,浙江双环传动机械股份有限公司,工业机械,双环传动(002472),浙江省玉环县机电产业功能区盛园路1号,浙江省杭州市西湖区古墩路702号赞宇大厦12楼,www.gearsnet.com,2010/9/10
211124 ,21304 ,10.1%,嘉兴市,嘉善经济开发区,晋亿实业,晋亿实业股份有限公司,工业机械,晋亿实业(601002),浙江省嘉兴市嘉善经济开发区晋亿大道8号,浙江省嘉兴市嘉善经济开发区晋亿大道8号,www.GEM-YEAR.com,2007/1/26
204742 ,21212 ,10.4%,绍兴市,越城区,喜临门,喜临门家具股份有限公司,家具,喜临门(603008),浙江省绍兴市越城区灵芝镇二环北路1号,浙江省绍兴市越城区灵芝镇二环北路1号,www.chinabed.com,2012/7/17
65510 ,20878 ,31.9%,嘉兴市,海宁市袁花镇谈桥81号(海宁市,浙江美大,浙江美大实业股份有限公司,耐用消费品,浙江美大(002677),浙江省海宁市袁花镇谈桥81号(海宁市东西大道60KM),浙江省海宁市袁花镇谈桥81号(海宁市东西大道60KM),www.meida.com,2012/5/25
184013 ,20867 ,11.3%,嘉兴市,桐乡市,新澳股份,浙江新澳纺织股份有限公司,服装与服饰,新澳股份(603889),浙江省桐乡市崇福镇观庄桥,浙江省桐乡市崇福镇观庄桥,www.chinaxinaogroup.com,2014/12/31
431280 ,20768 ,4.8%,宁波市,海曙区,太平鸟,宁波太平鸟时尚服饰股份有限公司,服装与服饰,太平鸟(603877),浙江省宁波市海曙环城西路南段826号,浙江省宁波市海曙环城西路南段826号,www.peacebird.com,2017/1/9
135694 ,20454 ,15.1%,绍兴市,诸暨市,浙江富润,浙江富润股份有限公司,服装与服饰,浙江富润(600070),浙江省诸暨市暨阳街道苎萝东路60号,浙江省诸暨市陶朱南路12号,www.furun.net,1997/6/4
118863 ,20343 ,17.1%,宁波市,鄞州区,美康生物,美康生物科技股份有限公司,制药,美康生物(300439),浙江省宁波市鄞州区启明南路299号,浙江省宁波市鄞州区启明南路299号,www.nbmedicalsystem.com,2015/4/22
96995 ,20301 ,20.9%,杭州市,江干区,金卡智能,金卡智能集团股份有限公司,工业机械,金卡智能(300349),浙江省温州市乐清经济开发区纬十七路291号,浙江省杭州经济技术开发区金乔街158号,www.china-goldcard.com,2012/8/17
301633 ,20279 ,6.7%,杭州市,上城区,思美传媒,思美传媒股份有限公司,媒介代理,思美传媒(002712),浙江省杭州市南复路59号,浙江省杭州市南复路59号,www.simei.cc,2014/1/23
133196 ,20231 ,15.2%,宁波市,鄞州区,日月股份,日月重工股份有限公司,工业机械,日月股份(603218),浙江省宁波市鄞州区东吴镇北村村,浙江省宁波市鄞州区东吴镇北村村,www.riyuehi.com,2016/12/28
256168 ,20160 ,7.9%,杭州市,上城区,广宇集团,广宇集团股份有限公司,不动产投资开发,广宇集团(002133),浙江省杭州市平海路8号,浙江省杭州市平海路8号,www.cosmosgroup.com.cn,2007/4/27
305039 ,20140 ,6.6%,台州市,临海市,浙江永强,浙江永强集团股份有限公司,家具,浙江永强(002489),浙江省临海市前江南路1号,浙江省临海市前江南路1号,www.yotrio.com,2010/10/21
76828 ,20008 ,26.0%,杭州市,余杭经济技术开发区,贝达药业,贝达药业股份有限公司,制药,贝达药业(300558),浙江省杭州市余杭经济技术开发区红丰路589号,浙江省杭州市余杭经济技术开发区红丰路589号,www.bettapharma.com,2016/11/7
1393504 ,19812 ,1.4%,杭州市,滨江区,英特集团,浙江英特集团股份有限公司,药品零售,英特集团(000411),浙江省杭州市下城区东新路江南巷2号3幢,浙江省杭州市滨江区江南大道96号?中化大厦,www.intmedic.com,1996/7/16
142554 ,19423 ,13.6%,湖州市,安吉县,恒林股份,浙江恒林椅业股份有限公司,家具,恒林股份(603661),浙江省安吉县递铺街道夹溪路378、380号,浙江省安吉县递铺街道夹溪路378、380号,www.henglin.com,2017/11/21
230045 ,19216 ,8.4%,台州市,路桥区,腾达建设,腾达建设集团股份有限公司,建筑施工,腾达建设(600512),浙江省台州市路桥区路桥大道东1号,浙江省台州市路桥区路桥大道东1号,www.tengdajs.com,2002/12/26
198879 ,18687 ,9.4%,台州市,仙居县,仙琚制药,浙江仙琚制药股份有限公司,制药,仙琚制药(002332),浙江省仙居县仙药路1号,浙江省仙居县仙药路1号,www.xjpharma.com,2010/1/12
85974 ,18519 ,21.5%,宁波市,鄞州区,宁波高发,宁波高发汽车控制系统股份有限公司,汽车,宁波高发(603788),浙江省宁波市鄞州投资创业中心（下应北路717号）,浙江省宁波市鄞州投资创业中心（下应北路717号）,www.gaofacable.com,2015/1/20
53789 ,18423 ,34.3%,宁波市,北仑区,旭升股份,宁波旭升汽车技术股份有限公司,汽车零配件（IV）,旭升股份(603305),浙江省宁波市北仑区沿山河北路68号,浙江省宁波市北仑区沿山河北路68号,www.nbxus.com,2017/7/10
397425 ,18334 ,4.6%,金华市,东阳市,普洛药业,普洛药业股份有限公司,制药,普洛药业(000739),浙江省东阳市横店江南路333号,浙江省东阳市横店江南路333号,www.apeloa.com,1997/5/9
49518 ,17929 ,36.2%,宁波市,保税区,理工环科,宁波理工环境能源科技股份有限公司,电子电气组件与设备,理工环科(002322),浙江省宁波市保税区曹娥江路22号,浙江省宁波市保税区曹娥江路22号,www.lgom.com.cn,2009/12/18
113093 ,17331 ,15.3%,宁波市,余姚市阳明科技工业园区,大丰实业,浙江大丰实业股份有限公司,电子设备,大丰实业(603081),浙江省余姚市阳明科技工业园区新建北路737号,浙江省余姚市阳明科技工业园区新建北路737号,www.chinadafeng.com,2017/4/20
29362 ,17292 ,58.9%,湖州市,德清县,我武生物,浙江我武生物科技股份有限公司,医药与生物科技,我武生物(300357),浙江省湖州市德清县武康镇志远北路636号,浙江省湖州市德清县武康镇志远北路636号,www.wolwobiotech.com,2014/1/21
29155 ,17283 ,59.3%,金华市,工业园区,金字火腿,金字火腿股份有限公司,食品生产（IV）,金字火腿(002515),浙江省金华市工业园区金帆街1000号,浙江省金华市工业园区金帆街1000号,www.jinzichina.com,2010/12/3
82448 ,17136 ,20.8%,绍兴市,绍兴县,亚太药业,浙江亚太药业股份有限公司,制药,亚太药业(002370),浙江省绍兴市柯桥区云集路1152号,浙江省绍兴市云集路1152号,www.ytyaoye.com,2010/3/16
304390 ,16992 ,5.6%,金华市,东阳市横店工业区,得邦照明,横店集团得邦照明股份有限公司,电子与电气设备,得邦照明(603303),浙江省东阳市横店工业区,浙江省东阳市横店工业区,www.tospolighting.com.cn,2017/3/30
108962 ,16980 ,15.6%,台州市,温岭市大溪镇大洋城工业区,新界泵业,浙江新界泵业股份有限公司,工业机械,新界泵业(002532),浙江省温岭市大溪镇大洋城工业区,浙江省温岭市大溪镇大洋城工业区,www.shimge.com,2010/12/31
50398 ,16963 ,33.7%,杭州市,江干区,华铁科技,浙江华铁建筑安全科技股份有限公司,建筑施工,华铁科技(603300),浙江省杭州市江干区九盛路9号A05幢4层,浙江省杭州市江干区九盛路9号A05幢4层,www.zjhuatie.cn,2015/5/29
70260 ,16952 ,24.1%,平湖市,经济开发区,莎普爱思,浙江莎普爱思药业股份有限公司,制药,莎普爱思(603168),浙江省平湖市经济开发区新明路1588号,浙江省平湖市经济开发区新明路1588号,www.zjspas.com,2014/7/2
50375 ,16436 ,32.6%,杭州市,拱墅区,中亚股份,杭州中亚机械股份有限公司,工业机械,中亚股份(300512),浙江省杭州市拱墅区方家埭路189号,浙江省杭州市拱墅区方家埭路189号,www.zhongyagroup.com/,2016/5/26
391830 ,16417 ,4.2%,绍兴市,上虞市,浙江医药,浙江医药股份有限公司,制药,浙江医药(600216),浙江省绍兴市滨海新城致远中大道168号,浙江省绍兴市滨海新城马欢路398号科创园A楼（综合楼）3层,www.china-zmc.com,1999/10/21
46228 ,16198 ,35.0%,杭州市,萧山经济技术开发区,兆丰股份,浙江兆丰机电股份有限公司,汽车零配件（IV）,兆丰股份(300695),浙江省杭州市萧山经济技术开发区桥南区块兆丰路6号,浙江省杭州市萧山经济技术开发区桥南区块兆丰路6号,www.hzfb.com,2017/9/8
3309676 ,16008 ,0.5%,杭州市,下城区,浙商中拓,浙商中拓集团股份有限公司,综合供应商,浙商中拓(000906),湖南省长沙市芙蓉区五一大道235号湘域中央1栋401号,浙江省杭州市下城区文晖路303号浙江交通集团大厦,www.zmd.com.cn,1999/7/7
117688 ,15910 ,13.5%,宁波市,江北区,宁波海运,宁波海运股份有限公司,水上运输,宁波海运(600798),浙江省宁波市北岸财富中心1幢,浙江省宁波市北岸财富中心1幢,www.nbmc.com.cn,1997/4/23
36306 ,15895 ,43.8%,杭州市,滨江区,电魂网络,杭州电魂网络科技股份有限公司,互联网,电魂网络(603258),浙江省杭州市滨江区西兴街道滨安路435号,浙江省杭州市滨江区西兴街道滨安路435号,www.dianhun.cn,2016/10/26
60637 ,15612 ,25.7%,绍兴市,诸暨市,创新医疗,创新医疗管理股份有限公司,医疗保健服务,创新医疗(002173),浙江省诸暨市山下湖镇郑家湖村,浙江省诸暨市山下湖镇珍珠工业园,"www.shanxiahupearl.cn,www.shanxiahu.com",2007/9/25
69402 ,15308 ,22.1%,湖州市,安吉县,洁美科技,浙江洁美电子科技股份有限公司,电子电气组件与设备,洁美科技(002859),浙江省安吉经济开发区阳光工业园区,浙江省安吉经济开发区阳光工业园区,www.jmkj.com,2017/4/7
105740 ,15140 ,14.3%,宁波市,慈溪市,慈星股份,宁波慈星股份有限公司,工业机械,慈星股份(300307),浙江省慈溪市白沙路街道华东轻纺针织城三期6号楼,浙江省宁波杭州湾新区滨海四路708号,www.ci-xing.com,2012/3/29
72655 ,15121 ,20.8%,杭州市,余杭区,长城影视,长城影视股份有限公司,广播与娱乐,长城影视(002071),江苏省张家港市大新镇人民路128号,浙江省杭州市文二西路西溪文化创意园长城影视证券部,www.chinaccys.com,2006/10/12
78107 ,14949 ,19.1%,宁波市,奉化市,鲍斯股份,宁波鲍斯能源装备股份有限公司,工业机械,鲍斯股份(300441),浙江省奉化市西坞街道尚桥路18号,浙江省奉化市西坞街道尚桥路18号,www.cnbaosi.com,2015/4/23
49559 ,14242 ,28.7%,台州市,仙居县现代工业集聚区,浙江仙通,浙江仙通橡塑股份有限公司,汽车与零配件（II）,浙江仙通(603239),浙江省台州市仙居县现代工业集聚区,浙江省台州市仙居县现代工业集聚区,www.zjxiantong.com,2016/12/30
77188 ,14184 ,18.4%,台州市,温岭市泽国镇丹崖工业区,大元泵业,浙江大元泵业股份有限公司,专业零售,大元泵业(603757),浙江省温岭市泽国镇丹崖工业区,浙江省温岭市泽国镇丹崖工业区,www.cnpumps.com,2017/7/11
61923 ,14120 ,22.8%,绍兴市,绍兴县,三力士,三力士股份有限公司,工业机械,三力士(002224),浙江省绍兴县柯岩街道余渚村,浙江省绍兴县柯岩街道余渚村,www.v-belt.com,2008/4/25
156689 ,14014 ,8.9%,嘉兴市,海宁市,天通股份,天通控股股份有限公司,电子电气组件与设备,天通股份(600330),浙江省海宁市盐官镇建设路1号,浙江省海宁经济开发区双联路129号,www.tdgcore.com,2001/1/18
130056 ,13877 ,10.7%,杭州市,西湖区,银江股份,银江股份有限公司,计算机服务,银江股份(300020),浙江省杭州市益乐路223号1幢1层,浙江省杭州市西湖区西湖经济科技园西园八路2号,www.enjoyor.net,2009/10/30
121313 ,13873 ,11.4%,杭州市,西湖区,珀莱雅,珀莱雅化妆品股份有限公司,化工品（II）,珀莱雅(603605),浙江省杭州市西湖区世贸丽晶城欧美中心1号楼（D区）1605室,浙江省杭州市西湖区世贸丽晶城欧美中心1号楼（D区）1605室,www.proya-group.com,2017/11/15
96290 ,13845 ,14.4%,台州市,路桥区,亿利达,浙江亿利达风机股份有限公司,工业机械,亿利达(002686),浙江省台州市路桥区横街镇亿利达路,浙江省台州市路桥区横街镇亿利达路,www.yilida.com,2012/7/3
89702 ,13791 ,15.4%,丽水市,青田县,起步股份,起步股份有限公司,服装与服饰,起步股份(603557),浙江省青田县油竹新区侨乡工业园区赤岩3号,浙江省青田县油竹新区侨乡工业园区赤岩3号,www.twabc.com.cn,2017/8/18
118674 ,13736 ,11.6%,绍兴市,越城区,古越龙山,浙江古越龙山绍兴酒股份有限公司,酿酒业,古越龙山(600059),浙江省绍兴市北海桥,浙江省绍兴市北海桥,www.shaoxingwine.com.cn,1997/5/16
84903 ,13638 ,16.1%,台州市,天台县,永贵电器,浙江永贵电器股份有限公司,电子电气组件与设备,永贵电器(300351),浙江省天台县白鹤镇东园路5号（西工业区）,浙江省天台县白鹤镇东园路5号（西工业区）,www.yonggui.com,2012/9/20
123429 ,13612 ,11.0%,台州市,椒江区,九洲药业,浙江九洲药业股份有限公司,制药,九洲药业(603456),浙江省台州市椒江区外沙工业区,浙江省台州市椒江区外沙工业区,www.jiuzhoupharma.com,2014/10/10
75902 ,13611 ,17.9%,绍兴市,柯桥区,会稽山,会稽山绍兴酒股份有限公司,酿酒业,会稽山(601579),浙江省绍兴市柯桥区湖塘街道杨绍路2579号,浙江省绍兴市柯桥区湖塘街道杨绍路2579号,www.kuaijishanwine.com,2014/8/25
321646 ,13574 ,4.2%,台州市,黄岩区,永高股份,永高股份有限公司,通用化工品,永高股份(002641),浙江省台州市黄岩经济开发区埭西路2号,浙江省台州市黄岩区黄椒路555号永高双浦新厂区,www.yonggao.com；www.era.com.cn,2011/12/8
296173 ,13249 ,4.5%,杭州市,江干区,杭电股份,杭州电缆股份有限公司,电子电气组件与设备,杭电股份(603618),浙江省杭州经济技术开发区6号大街68-1,浙江省杭州经济技术开发区6号大街68-1,www.hzcables.com,2015/2/17
152301 ,13012 ,8.5%,湖州市,长兴县,诺力股份,诺力智能装备股份有限公司,汽车,诺力股份(603611),浙江省长兴县太湖街道长州路528号,浙江省长兴县太湖街道长州路528号,www.noblelift.com,2015/1/28
52881 ,12754 ,24.1%,金华市,东阳市,唐德影视,浙江唐德影视股份有限公司,广播与娱乐,唐德影视(300426),浙江省横店影视产业实验区C3-028,浙江省横店影视产业实验区C3-028,www.tangde.com.cn,2015/2/17
128622 ,12578 ,9.8%,宁波市,江东区,宁波热电,宁波热电股份有限公司,综合公共事业,宁波热电(600982),浙江省宁波经济技术开发区大港工业城,浙江省宁波市江东区昌乐路187号发展大厦B座7F,www.nbtp.com.cn,2004/7/6
88297 ,12330 ,14.0%,台州市,黄岩江口化工开发区,天宇股份,浙江天宇药业股份有限公司,制药,天宇股份(300702),浙江省台州市黄岩江口化工开发区,浙江省台州市黄岩江口化工开发区,www.tianyupharm.com,2017/9/19
70821 ,12262 ,17.3%,杭州市,余杭区,炬华科技,杭州炬华科技股份有限公司,电子电气组件与设备,炬华科技(300360),浙江省杭州市余杭区仓前街道龙潭路9号,浙江省杭州市余杭区仓前街道龙潭路9号,www.sunrisemeter.com,2014/1/21
214684 ,12258 ,5.7%,台州市,温岭市经济开发区,爱仕达,浙江爱仕达电器股份有限公司,耐用消费品,爱仕达(002403),浙江省温岭市经济开发区科技路2号,浙江省温岭市经济开发区科技路2号,www.chinaasd.com,2010/5/11
266830 ,12141 ,4.5%,湖州市,吴兴区,金洲管道,浙江金洲管道科技股份有限公司,工业机械,金洲管道(002443),浙江省湖州市东门十五里牌（318国道旁）,浙江省湖州市吴兴区八里店区府南路388号,www.chinakingland.com,2010/7/6
31017 ,11967 ,38.6%,金华市,东阳市,花园生物,浙江花园生物高科股份有限公司,食品生产（IV）,花园生物(300401),浙江省东阳市南马镇花园村,浙江省东阳市南马镇花园村,www.hybiotech.com,2014/10/9
98192 ,11895 ,12.1%,金华市,永康市,哈尔斯,浙江哈尔斯真空器皿股份有限公司,耐用消费品,哈尔斯(002615),浙江省永康经济开发区哈尔斯路1号,浙江省永康经济开发区哈尔斯路1号,www.haers.com,2011/9/9
