销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
165366 ,11582 ,7.0%,绍兴市,诸暨市店口镇工业区,万安科技,浙江万安科技股份有限公司,汽车零配件（IV）,万安科技(002590),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区中央路188号,www.vie.com.cn,2011/6/10
111267 ,11452 ,10.3%,台州市,临海市城关两水开发区,万盛股份,浙江万盛股份有限公司,特种化工品,万盛股份(603010),浙江省临海市城关两水开发区,浙江省临海市城关两水开发区,www.ws-chem.com,2014/10/10
207785 ,11281 ,5.4%,嘉兴市,秀洲区,嘉欣丝绸,浙江嘉欣丝绸股份有限公司,服装与服饰,嘉欣丝绸(002404),浙江省嘉兴市中环西路588号,浙江省嘉兴市中环西路588号,www.jxsilk.cn,2010/5/11
120483 ,11139 ,9.2%,杭州市,下城区,华媒控股,浙江华媒控股股份有限公司,出版业,华媒控股(000607),浙江省杭州市下城区体育场路218号,浙江省杭州市下城区体育场路218号,www.000607.cn,1996/8/30
41863 ,11066 ,26.4%,嘉兴市,嘉善县,长盛轴承,浙江长盛滑动轴承股份有限公司,工业机械,长盛轴承(300718),浙江省嘉善县惠民街道鑫达路6号,浙江省嘉善县惠民街道鑫达路6号,www.csb.com.cn,2017/11/6
201578 ,10814 ,5.4%,杭州市,西湖区,士兰微,杭州士兰微电子股份有限公司,半导体,士兰微(600460),浙江省杭州市黄姑山路4号,浙江省杭州市黄姑山路4号,www.silan.com.cn,2003/3/11
130403 ,10797 ,8.3%,湖州市,安吉县,永艺股份,永艺家具股份有限公司,家具,永艺股份(603600),浙江省湖州市安吉县递铺镇永艺西路1号,浙江省湖州市安吉县递铺镇永艺西路1号,www.uechairs.com,2015/1/23
94817 ,10792 ,11.4%,宁波市,余姚市姚北工业新区,朗迪集团,浙江朗迪集团股份有限公司,通用化工品,朗迪集团(603726),浙江省宁波市余姚市姚北工业新区,浙江省宁波市余姚市姚北工业新区,www.langdi.com,2016/4/21
62541 ,10767 ,17.2%,台州市,温岭市,东音股份,浙江东音泵业股份有限公司,工业机械,东音股份(002793),浙江省温岭市大溪镇大石一级公路南侧,浙江省温岭市大溪镇大石一级公路南侧,www.doyin.com,2016/4/15
36556 ,10727 ,29.3%,杭州市,滨江区,远方信息,杭州远方光电信息股份有限公司,工业机械,远方信息(300306),浙江省杭州市滨江区滨康路669号1号楼,浙江省杭州市滨江区滨康路669号1号楼,www.everfine.cn,2012/3/29
80844 ,10695 ,13.2%,杭州市,余杭区,浙富控股,浙富控股集团股份有限公司,电子电气组件与设备,浙富控股(002266),浙江省桐庐县县城迎春南路177号浙富大厦25F,浙江省杭州市余杭区绿汀路21号浙富控股大厦,www.zhefu.cn,2008/8/6
73700 ,10686 ,14.5%,杭州市,拱墅区,思创医惠,思创医惠科技股份有限公司,电子设备,思创医惠(300078),浙江省杭州市莫干山路1418-25号(上城科技经济园),浙江省杭州市莫干山路1418-48号,www.century-cn.com,2010/4/30
108708 ,10642 ,9.8%,杭州市,萧山区,百合花,百合花集团股份有限公司,通用化工品,百合花(603823),浙江省杭州市萧山区临江工业园区农一场,浙江省杭州市萧山区临江工业园区农一场,www.lilygroup.cn,2016/12/20
286362 ,10641 ,3.7%,宁波市,海曙区,三江购物,三江购物俱乐部股份有限公司,百货零售,三江购物(601116),浙江省宁波市大榭开发区邻里中心,浙江省宁波市海曙区环城西路北段197号,www.sanjiang.com,2011/3/2
104206 ,10515 ,10.1%,台州市,开发区,南洋科技,浙江南洋科技股份有限公司,电子电气组件与设备,南洋科技(002389),浙江省台州市开发区开发大道388号,浙江省台州市开发区开发大道388号,www.nykj.cc,2010/4/13
62049 ,10382 ,16.7%,杭州市,余杭区,铁流股份,浙江铁流离合器股份有限公司,汽车与零配件（II）,铁流股份(603926),浙江省余杭区余杭经济开发区东湖北路958号,浙江省余杭区余杭经济开发区东湖北路958号,www.chinaclutch.com,2017/5/10
45348 ,10263 ,22.6%,嘉兴市,海盐县百步工业区,友邦吊顶,浙江友邦集成吊顶股份有限公司,建材与构件,友邦吊顶(002718),浙江省嘉兴市海盐县百步工业区北A区,浙江省嘉兴市海盐县百步工业区北A区,www.chinayoubang.com,2014/1/28
87789 ,10140 ,11.6%,温州市,乐清市,意华股份,温州意华接插件股份有限公司,通讯设备,意华股份(002897),浙江省乐清市翁??镇后西工业区,浙江省乐清市翁??镇后西工业区,www.czt.cn,2017/9/7
120206 ,10097 ,8.4%,绍兴市,上虞区,皇马科技,浙江皇马科技股份有限公司,化工品（II）,皇马科技(603181),浙江省绍兴市上虞区章镇工业新区,浙江省绍兴市上虞区章镇工业新区,www.huangma.com,2017/8/24
58120 ,10062 ,17.3%,嘉兴市,海宁市,晨丰科技,浙江晨丰科技股份有限公司,电子电气组件与设备,晨丰科技(603685),浙江省海宁市盐官镇杏花路4号,浙江省海宁市盐官镇杏花路4号,www.cnlampholder.com,2017/11/27
76090 ,9929 ,13.0%,杭州市,萧山经济开发区,健盛集团,浙江健盛集团股份有限公司,服装与服饰,健盛集团(603558),浙江省杭州市萧山经济开发区金一路111号,浙江省杭州市萧山经济开发区金一路111号,www.jasangroup.com,2015/1/27
68486 ,9816 ,14.3%,衢州市,江山市,欧派股份,江山欧派门业股份有限公司,家具,江山欧派(603208),浙江省江山市贺村镇淤头村淤达山自然村8号,浙江省江山市贺村镇淤头村淤达山自然村8号,www.oupaigroup.com,2017/2/10
24447 ,9808 ,40.1%,温州市,鹿城区,浙江东日,浙江东日股份有限公司,商业辅助服务,浙江东日(600113),浙江省温州市矮凳桥92号,浙江省温州市矮凳桥92号,www.dongri.com,1997/10/21
41833 ,9787 ,23.4%,湖州市,吴兴区,东尼电子,浙江东尼电子股份有限公司,计算机硬件,东尼电子(603595),浙江省湖州市吴兴区织里镇中华东路88号,浙江省湖州市吴兴区织里镇中华东路88号,www.tony-tech.com,2017/7/12
276733 ,9762 ,3.5%,杭州市,萧山区,亚太股份,浙江亚太机电股份有限公司,汽车零配件（IV）,亚太股份(002284),浙江省杭州市萧山区蜀山街道亚太路1399号,浙江省杭州市萧山区蜀山街道亚太路1399号,www.apg.cn,2009/8/28
199601 ,9737 ,4.9%,湖州市,南浔区,久立特材,浙江久立特材科技股份有限公司,钢铁,久立特材(002318),浙江省湖州市双林镇镇西,浙江省湖州市双林镇镇西,www.jiuli.com,2009/12/11
132071 ,9457 ,7.2%,杭州市,余杭区,春风动力,浙江春风动力股份有限公司,商用运载工具与车辆,春风动力(603129),浙江省杭州余杭区余杭经济技术开发区五洲路116号,浙江省杭州余杭区余杭经济技术开发区五洲路116号,www.cfmoto.com,2017/8/18
25350 ,9230 ,36.4%,杭州市,桐庐县富春江镇机械工业区,光启技术,光启技术股份有限公司,汽车零配件（IV）,光启技术(002625),浙江省桐庐县富春江镇俞赵工业功能区988号,浙江省杭州市桐庐县富春江镇机械工业区、广东省深圳市南山区高新中一道9号软件大厦三层,www.kc-t.cn,2011/11/3
165935 ,9112 ,5.5%,宁波市,海曙区,广博股份,广博集团股份有限公司,造纸,广博股份(002103),浙江省宁波市海曙区石?\街道车何,宁波市海曙区石?\街道车何,www.guangbo.net,2007/1/10
84452 ,9054 ,10.7%,绍兴市,新昌县,五洲新春,浙江五洲新春集团股份有限公司,工业机械,五洲新春(603667),浙江省新昌县七星街道泰坦大道199号,浙江省新昌县七星街道泰坦大道199号,www.xcc-zxz.com,2016/10/25
42028 ,9036 ,21.5%,杭州市,余杭经济开发区,微光股份,杭州微光电子股份有限公司,耐用消费品,微光股份(002801),浙江省杭州市余杭经济开发区兴中路365号,浙江省杭州市余杭经济开发区兴中路365号,www.wgmotor.com,2016/6/22
40446 ,9034 ,22.3%,绍兴市,诸暨市应店街镇工业区,金海环境,浙江金海环境技术股份有限公司,电子电气组件与设备,金海环境(603311),浙江省诸暨市应店街镇工业区,浙江省诸暨市应店街镇工业区,www.goldensea.cn,2015/5/18
166582 ,9013 ,5.4%,宁波市,高新区,围海股份,浙江省围海建设集团股份有限公司,建筑施工,围海股份(002586),浙江省宁波市高新区广贤路1009号,浙江省宁波市高新区广贤路1009号,www.zjwh.com.cn,2011/6/2
23113 ,8977 ,38.8%,嘉兴市,海盐县,恒锋工具,恒锋工具股份有限公司,工业机械,恒锋工具(300488),浙江省嘉兴市海盐县武原镇新桥北路239号,浙江省嘉兴市海盐县武原镇新桥北路239号,www.esttools.com,2015/7/1
91221 ,8968 ,9.8%,宁波市,宁海县,奇精机械,奇精机械股份有限公司,电子与电气设备,奇精机械(603677),浙江省宁海县跃龙街道气象北路289号,浙江省宁海县跃龙街道气象北路289号,www.qijing-m.com,2017/2/6
537343 ,8912 ,1.7%,杭州市,萧山区,东南网架,浙江东南网架股份有限公司,建筑施工,东南网架(002135),浙江省杭州市萧山区衙前镇,浙江省杭州市萧山区衙前镇,www.dongnanwangjia.com,2007/5/30
328984 ,8847 ,2.7%,金华市,义乌市义亭镇姑塘工业小区,华统股份,浙江华统肉制品股份有限公司,农业与渔业,华统股份(002840),浙江省义乌市义亭镇姑塘工业小区,浙江省义乌市义亭镇姑塘工业小区,www.huatongmeat.com,2017/1/10
412378 ,8816 ,2.1%,台州市,椒江区,中新科技,中新科技集团股份有限公司,计算机硬件,中新科技(603996),浙江省台州市椒江区工人西路618-2号,浙江省台州市椒江区工人西路618-2号,www.cncoptronics.cn,2015/12/22
22278 ,8703 ,39.1%,绍兴市,嵊州市,新光药业,浙江新光药业股份有限公司,制药,新光药业(300519),浙江省嵊州市剡湖街道环城西路25号,浙江省嵊州市剡湖街道环城西路25号,www.xgpharma.com,2016/6/24
189113 ,8695 ,4.6%,杭州市,拱墅区,天马股份,天马轴承集团股份有限公司,工业机械,天马股份(002122),浙江省杭州市拱墅区石祥路202号,浙江省杭州市拱墅区石祥路202号,www.zjtmb.com,2007/3/28
87852 ,8589 ,9.8%,丽水市,天宁工业区,方正电机,浙江方正电机股份有限公司,工业机械,方正电机(002196),浙江省丽水市莲都区水阁工业区石牛路73号,浙江省丽水市天宁工业区24号,www.fdm.com.cn,2007/12/12
165869 ,8525 ,5.1%,衢州市,经济开发区,开山股份,浙江开山压缩机股份有限公司,工业机械,开山股份(300257),浙江省衢州市经济开发区凯旋西路9号,浙江省衢州市经济开发区凯旋西路9号,www.kaishancomp.com.cn,2011/8/19
305059 ,8513 ,2.8%,绍兴市,柯桥区,明牌珠宝,浙江明牌珠宝股份有限公司,服装与服饰,明牌珠宝(002574),浙江省绍兴市柯桥区福全工业区,浙江省绍兴市柯桥区群贤路与镜水路交叉口,www.mingr.com,2011/4/22
18903 ,8476 ,44.8%,杭州市,余杭区,新坐标,杭州新坐标科技股份有限公司,工业金属,新坐标(603040),浙江省杭州余杭区仓前街道龙潭路18号1-5幢,浙江省杭州余杭区仓前街道龙潭路18号1-5幢,www.xzbco.com,2017/2/9
55161 ,8427 ,15.3%,台州市,仙居县,司太立,浙江司太立制药股份有限公司,制药,司太立(603520),浙江省仙居县现代工业集聚区司太立大道1号,浙江省仙居县现代工业集聚区司太立大道1号,http://www.starrypharm.com,2016/3/9
53365 ,8421 ,15.8%,金华市,永康市经济开发区,道明光学,浙江道明光学股份有限公司,特种化工品,道明光学(002632),浙江省永康市象珠镇象珠工业区3号迎宾大道1号,浙江省永康市经济开发区东吴路581号,www.chinadaoming.com,2011/11/22
75924 ,8225 ,10.8%,杭州市,拱墅区,创业软件,创业软件股份有限公司,计算机服务,创业软件(300451),浙江省杭州市滨江区长河街道越达巷92号创业智慧大厦五楼,浙江省杭州市文三路199号创业大厦三楼,www.bsoft.com.cn,2015/5/14
82663 ,8158 ,9.9%,嘉兴市,桐乡市,双箭股份,浙江双箭橡胶股份有限公司,运输服务,双箭股份(002381),浙江省桐乡市洲泉镇晚村,浙江省桐乡市洲泉镇晚村,www.doublearrow.net,2010/4/2
57822 ,8140 ,14.1%,杭州市,拱墅区,祥源文化,浙江祥源文化股份有限公司,广播与娱乐,祥源文化(600576),浙江省杭州市密渡桥路1号白马大厦12楼,浙江省杭州市密渡桥路1号白马大厦12楼,www.cnwhwh.cn,2003/2/20
421312 ,8059 ,1.9%,台州市,椒江区,星星科技,浙江星星瑞金科技股份有限公司,电子电气组件与设备,星星科技(300256),浙江省台州市椒江区洪家星星电子产业基地4号楼,浙江省台州市椒江区洪家星星电子产业基地4号楼,www.first-panel.com,2011/8/19
46113 ,8058 ,17.5%,嘉兴市,海宁市,宏达高科,宏达高科控股股份有限公司,服装与服饰,宏达高科(002144),浙江省海宁市许村镇建设路118号,浙江省海宁市许村镇建设路118号,www.zjhongda.com.cn,2007/8/3
93696 ,7971 ,8.5%,宁波市,鄞州区,康强电子,宁波康强电子股份有限公司,半导体,康强电子(002119),浙江省宁波市鄞州投资创业中心金源路988号,浙江省宁波市鄞州投资创业中心金源路988号,www.kangqiang.com,2007/3/2
67269 ,7934 ,11.8%,杭州市,江干区,百大集团,百大集团股份有限公司,百货零售,百大集团(600865),浙江省杭州市延安路546号,浙江省杭州市庆春东路1-1号西子联合大厦18楼,www.baidagroup.com,1994/8/9
557532 ,7902 ,1.4%,宁波市,江北区,宁波东力,宁波东力股份有限公司,工业机械,宁波东力(002164),浙江省宁波市江北区银海路1号,浙江省宁波市江北区银海路1号,www.donly.com.cn,2007/8/23
159626 ,7774 ,4.9%,杭州市,滨江高新技术开发区,东方通信,东方通信股份有限公司,通讯设备,东方通信(600776),浙江省杭州市滨江区东信大道66号,浙江省杭州市滨江高新技术开发区东信大道66号,www.eastcom.com,1996/11/26
159626 ,7774 ,4.9%,杭州市,滨江高新技术开发区,东方通信,东方通信股份有限公司,通讯设备,东信B股(900941),浙江省杭州市滨江区东信大道66号,浙江省杭州市滨江高新技术开发区东信大道66号,www.eastcom.com,1996/11/26
65627 ,7729 ,11.8%,杭州市,西湖区,平治信息,杭州平治信息技术股份有限公司,互联网,平治信息(300571),浙江省杭州市江干区九盛路9号A18幢5楼518室,浙江省杭州市西湖区文三路90号东部软件园科技大厦A401室,www.anysoft.cn,2016/12/13
57272 ,7658 ,13.4%,绍兴市,上虞区,康隆达,浙江康隆达特种防护科技股份有限公司,耐用消费品,康隆达(603665),浙江省杭州湾上虞经济技术开发区纬五东路7号,浙江省杭州湾上虞经济技术开发区纬五东路7号,www.kanglongda.com.cn,2017/3/13
150359 ,7601 ,5.1%,杭州市,西湖区,数源科技,数源科技股份有限公司,通讯设备,数源科技(000909),浙江省杭州西湖区教工路一号,浙江省杭州市西湖区教工路一号,www.soyea.com.cn,1999/5/7
92272 ,7532 ,8.2%,宁波市,北仑区,海天精工,宁波海天精工股份有限公司,工业机械,海天精工(601882),浙江省宁波市北仑区黄山西路235号,浙江省宁波市北仑区黄山西路235号,www.hision.com.cn,2016/11/7
62250 ,7497 ,12.0%,宁波市,慈溪市,天龙股份,宁波天龙电子股份有限公司,工业品与服务,天龙股份(603266),浙江省宁波杭州湾新区八塘路116号3号楼,浙江省宁波杭州湾新区八塘路116号3号楼,www.ptianlong.com,2017/1/10
781760 ,7464 ,1.0%,杭州市,滨江区,联络互动,杭州联络互动信息科技股份有限公司,软件,联络互动(002280),浙江省杭州市滨江区物联网街451号芯图大厦18层,浙江省杭州市滨江区物联网街451号芯图大厦18层,www.lianluo.com,2009/8/21
134033 ,7459 ,5.6%,湖州市,吴兴区,香飘飘,香飘飘食品股份有限公司,软饮料,香飘飘(603711),浙江省湖州经济技术开发区创业大道888号,浙江省湖州经济技术开发区创业大道888号,www.chinaxpp.com,2017/11/30
110927 ,7429 ,6.7%,杭州市,余杭区,华正新材,浙江华正新材料股份有限公司,通讯设备,华正新材(603186),浙江省杭州市余杭区余杭街道华一路2号,浙江省杭州市余杭区余杭镇华一路2号,www.hzccl.com,2017/1/3
70118 ,7388 ,10.5%,宁波市,海曙区,香溢融通,香溢融通控股集团股份有限公司,不动产投资开发,香溢融通(600830),浙江省宁波市西河街158号,浙江省宁波市西河街158号,www.sunnyloantop.cn,1994/2/24
25012 ,7375 ,29.5%,杭州市,富阳区,星帅尔,杭州星帅尔电器股份有限公司,耐用消费品,星帅尔(002860),浙江省杭州市富阳区受降镇祝家村交界岭99号（2、3、4、5幢）,浙江省杭州市富阳区受降镇祝家村交界岭99号（2、3、4、5幢）,www.hzstarshuaier.com,2017/4/12
40271 ,7333 ,18.2%,绍兴市,城东经济技术开发区,京华激光,浙江京华激光科技股份有限公司,造纸,京华激光(603607),浙江省绍兴市城东经济技术开发区,浙江省绍兴市城东经济技术开发区,www.sx-jhjg.com,2017/10/25
518316 ,7323 ,1.4%,杭州市,临安市,万马股份,浙江万马股份有限公司,电子电气组件与设备,万马股份(002276),浙江省临安经济开发区南环路88号,浙江省临安经济开发区南环路88号,www.wanma-cable.cn,2009/7/10
200104 ,7255 ,3.6%,金华市,义乌市北苑工业区,华鼎股份,义乌华鼎锦纶股份有限公司,通用化工品,华鼎股份(601113),浙江省义乌市北苑工业区雪峰西路751号,浙江省义乌市北苑工业区雪峰西路751号,www.hdnylon.com,2011/5/9
50943 ,7209 ,14.2%,杭州市,杭州经济技术开发区,泰瑞机器,泰瑞机器股份有限公司,电子与电气设备,泰瑞机器(603289),浙江省杭州市杭州经济技术开发区下沙街道文泽北路245号,浙江省杭州市杭州经济技术开发区下沙街道文泽北路245号,www.tederic-cn.com,2017/10/31
42321 ,7181 ,17.0%,温州市,平阳县,佩蒂股份,佩蒂动物营养科技股份有限公司,农业与渔业,佩蒂股份(300673),浙江省平阳县水头镇工业园区宠乐路2号,浙江省平阳县水头镇工业园区宠乐路2号,www.peidibrand.com,2017/7/11
55461 ,7077 ,12.8%,绍兴市,柯北工业园区,梅轮电梯,浙江梅轮电梯股份有限公司,电子电气组件与设备,梅轮电梯(603321),浙江省绍兴市柯北工业园区梅中路576号,浙江省绍兴市柯北工业园区梅中路576号,www.zjml.cc,2017/9/15
62950 ,7028 ,11.2%,台州市,玉环县,正裕工业,浙江正裕工业股份有限公司,汽车与零配件（II）,正裕工业(603089),浙江省玉环县珠港镇三合潭工业区双港路,浙江省玉环县珠港镇三合潭工业区双港路,www.addchina.com,2017/1/26
36626 ,6940 ,18.9%,湖州市,吴兴区,德宏股份,浙江德宏汽车电子电器股份有限公司,电子电气组件与设备,德宏股份(603701),浙江省湖州市南太湖大道1888号,浙江省湖州市南太湖大道1888号,www.dehong.com.cn,2016/4/12
53640 ,6918 ,12.9%,嘉兴市,嘉善县,巴士在线,巴士在线股份有限公司,电子电气组件与设备,巴士在线(002188),浙江省嘉善县经济开发区东升路36号,浙江省嘉善县经济开发区东升路36号,www.busonline.com,2007/11/22
54850 ,6819 ,12.4%,杭州市,高新区,中恒电气,杭州中恒电气股份有限公司,工业机械,中恒电气(002364),浙江省杭州市高新区之江科技工业园东信大道69号,浙江省杭州市高新区之江科技工业园东信大道69号,www.hzzh.com,2010/3/5
990450 ,6676 ,0.7%,湖州市,吴兴区,栋梁新材,浙江栋梁新材股份有限公司,铝业,栋梁新材(002082),浙江省湖州市织里镇栋梁路1688号,浙江省湖州市织里镇栋梁路,www.dongliang.com.cn,2006/11/20
528279 ,6630 ,1.3%,杭州市,西湖区,赞宇科技,浙江赞宇科技股份有限公司,特种化工品,赞宇科技(002637),浙江省杭州市城头巷128号,浙江省杭州市西湖区古墩路702号,www.zzytech.com,2011/11/25
41872 ,6523 ,15.6%,衢州市,柯城区,牧高笛,牧高笛户外用品股份有限公司,服装与服饰,牧高笛(603908),浙江省衢州市世纪大道895号1幢,浙江省衢州市世纪大道895号1幢,www.mobigarden.com.cn,2017/3/7
25846 ,6470 ,25.0%,嘉兴市,南湖区,博创科技,博创科技股份有限公司,通讯设备,博创科技(300548),浙江省嘉兴市南湖区亚太路306号,浙江省嘉兴市凌公塘路1号207室,www.broadex-tech.com,2016/10/12
95481 ,6445 ,6.7%,杭州市,西湖区,永创智能,杭州永创智能设备股份有限公司,工业机械,永创智能(603901),浙江省杭州市西湖区三墩镇西园九路1号,浙江省杭州市西湖区三墩镇西园九路1号,www.youngsunpack.com,2015/5/29
23916 ,6418 ,26.8%,杭州市,西湖区,金石资源,金石资源集团股份有限公司,采矿业,金石资源(603505),浙江省杭州市拱墅区莫干山路耀江国际大厦B座20层B室,浙江省杭州市西湖区求是路8号公元大厦南楼2301室,www.chinesekings.com,2017/5/3
55447 ,6403 ,11.5%,湖州市,南浔区,星光农机,星光农机股份有限公司,综合工业,星光农机(603789),浙江省湖州市和孚镇星光大街1688号,浙江省湖州市和孚镇星光大街1688号,www.xg1688.com,2015/4/27
108789 ,6354 ,5.8%,宁波市,鄞州区,圣龙股份,宁波圣龙汽车动力系统股份有限公司,汽车与零配件（II）,圣龙股份(603178),浙江省宁波市鄞州区工业园区金达路788号,浙江省宁波市鄞州区工业园区金达路788号,slpt.sheng-long.com,2017/3/28
50937 ,6351 ,12.5%,杭州市,江干区,元成股份,浙江元成园林集团股份有限公司,林业,元成股份(603388),浙江省杭州市江干区采荷嘉业大厦5号楼5楼501室,浙江省杭州市庆春东路2-6号第15层,www.ycyuanlin.com,2017/3/24
46395 ,6332 ,13.6%,嘉兴市,嘉善县,浙江众成,浙江众成包装材料股份有限公司,特种化工品,浙江众成(002522),浙江省嘉善县惠民街道泰山路1号,浙江省嘉善县惠民街道泰山路1号,www.zjzhongda.com,2010/12/10
63922 ,6264 ,9.8%,台州市,温岭市石塘镇上马工业区,中马传动,浙江中马传动股份有限公司,汽车与零配件（II）,中马传动(603767),浙江省温岭市石塘镇上马工业区经一路1号,浙江省温岭市石塘镇上马工业区经一路1号,www.zomaxcd.com,2017/6/13
63843 ,6260 ,9.8%,宁波市,象山县,乐惠国际,宁波乐惠国际工程装备股份有限公司,酿酒业,乐惠国际(603076),浙江省宁波市象山县西周镇象西机电工业园,浙江省宁波市象山县西周镇象西机电工业园,www.lehui.com,2017/11/13
34569 ,6204 ,17.9%,杭州市,萧山区,雷迪克,杭州雷迪克节能科技股份有限公司,汽车零配件（IV）,雷迪克(300652),浙江省杭州萧山经济技术开发区桥南区块春潮路89号,浙江省杭州萧山经济技术开发区桥南区块春潮路89号,www.radical.cn,2017/5/16
188323 ,6183 ,3.3%,绍兴市,越城区,浙江震元,浙江震元股份有限公司,药品零售,浙江震元(000705),浙江省绍兴市解放北路289号,浙江省绍兴市解放北路289号,www.zjzy.com,1997/4/10
55466 ,6044 ,10.9%,宁波市,北仑区,弘讯科技,宁波弘讯科技股份有限公司,电子电气组件与设备,弘讯科技(603015),浙江省宁波市北仑区大港五路88号,浙江省宁波市北仑区大港五路88号,www.techmation.com.cn,2015/3/3
21263 ,6026 ,28.3%,宁波市,象山县石浦科技园区,戴维医疗,宁波戴维医疗器械股份有限公司,医疗设备,戴维医疗(300314),浙江省宁波市象山县石浦科技园区科苑路2号,浙江省宁波市象山县石浦科技园区科苑路2号,www.nbdavid.com,2012/5/8
122319 ,6005 ,4.9%,温州市,乐清市,华仪电气,华仪电气股份有限公司,电子电气组件与设备,华仪电气(600290),浙江省乐清经济开发区中心大道228号,浙江省乐清经济开发区中心大道228号,www.heag.com,2000/11/6
74962 ,5914 ,7.9%,绍兴市,新昌县,日发精机,浙江日发精密机械股份有限公司,工业机械,日发精机(002520),浙江省新昌县七星街道日发数码科技园,浙江省新昌县七星街道日发数码科技园,www.rifapm.com,2010/12/10
54535 ,5895 ,10.8%,温州市,平阳县,乔治白,浙江乔治白服饰股份有限公司,服装与服饰,乔治白(002687),浙江省平阳县昆阳镇平瑞公路588号,浙江省平阳县昆阳镇平瑞公路588号及昆阳镇乔治白休闲服饰生产基地,www.giuseppe.cn,2012/7/13
52069 ,5867 ,11.3%,台州市,椒江区,百达精工,浙江百达精工股份有限公司,汽车零配件（IV）,百达精工(603331),浙江省台州市经中路908弄28号,浙江省台州市经中路908弄28号,www.baidapm.com,2017/7/5
36961 ,5843 ,15.8%,台州市,天台县,圣达生物,浙江圣达生物药业股份有限公司,食品生产（III）,圣达生物(603079),浙江省天台县赤城街道人民东路789号,浙江省天台县赤城街道人民东路789号,www.sd-pharm.com,2017/8/23
20410 ,5710 ,28.0%,台州市,天台县,天铁股份,浙江天铁实业股份有限公司,通用化工品,天铁股份(300587),浙江省天台县人民东路928号,浙江省天台县人民东路928号,www.tiantie.cn,2017/1/5
280216 ,5689 ,2.0%,绍兴市,诸暨市,菲达环保,浙江菲达环保科技股份有限公司,工业机械,菲达环保(600526),浙江省诸暨市望云路88号,浙江省诸暨市望云路88号,www.feida.biz,2002/7/22
50549 ,5648 ,11.2%,台州市,天台县西工业区,天成自控,浙江天成自控股份有限公司,汽车零配件（IV）,天成自控(603085),浙江省台州市天台县西工业区,浙江省台州市天台县西工业区,www.china-tc.com,2015/6/30
185975 ,5609 ,3.0%,台州市,温岭市经济开发区,钱江摩托,浙江钱江摩托股份有限公司,汽车,钱江摩托(000913),浙江省温岭市经济开发区,浙江省温岭市经济开发区,www.qjmotor.com,1999/5/14
587441 ,5543 ,0.9%,杭州市,滨江区,盾安环境,浙江盾安人工环境股份有限公司,工业机械,盾安环境(002011),中国浙江省诸暨市店口工业区,浙江省杭州市滨江区滨安路1190号智汇领地科技园B座,www.dunan.net,2004/7/5
