销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
32368 ,5523 ,17.1%,杭州市,滨江区,扬帆新材,浙江扬帆新材料股份有限公司,通用化工品,扬帆新材(300637),浙江省绍兴市杭州湾上虞经济技术开发区,浙江省杭州市滨江区信诚路31号扬帆大厦五楼,www.zjyfxc.com,2017/4/12
45054 ,5458 ,12.1%,台州市,黄岩区,济民制药,浙江济民制药股份有限公司,医疗设备,济民制药(603222),浙江省台州市黄岩区北院路888号,浙江省台州市黄岩区北院路888号,www.chimin.cn,2015/2/17
34823 ,5355 ,15.4%,宁波市,象山县,合力科技,宁波合力模具科技股份有限公司,汽车零配件（IV）,合力科技(603917),浙江省象山工业园区西谷路358号,浙江省象山工业园区西谷路358号,www.helimould.com,2017/12/4
60057 ,5288 ,8.8%,宁波市,鄞州区,华瑞股份,华瑞电器股份有限公司,电子电气组件与设备,华瑞股份(300626),浙江省宁波市鄞州区姜山镇科技园区,浙江省宁波市鄞州区姜山镇科技园区,www.china-commutator.com,2017/3/20
49918 ,5254 ,10.5%,宁波市,江东区,激智科技,宁波激智科技股份有限公司,电子电气组件与设备,激智科技(300566),浙江省宁波高新区晶源路9号,浙江省宁波高新区晶源路9号,www.excitontech.cn,2016/11/15
31241 ,5204 ,16.7%,台州市,黄岩区,东方材料,新东方新材料股份有限公司,通用化工品,东方材料(603110),浙江省台州市黄岩区东城街道劳动北路118（8层）号,台州市黄岩区东城街道劳动北路118号8楼,--,2017/10/13
22678 ,5176 ,22.8%,温州市,洞头区,诚意药业,浙江诚意药业股份有限公司,制药,诚意药业(603811),浙江省温州市洞头区化工路118号,浙江省温州市洞头区化工路118号,www.chengyipharma.com,2017/3/15
40754 ,5154 ,12.6%,台州市,玉环县,永和智控,永和流体智控股份有限公司,工业机械,永和智控(002795),浙江省玉环县清港镇工业产业集聚区,浙江省玉环县清港镇工业产业集聚区,www.yhvalve.com,2016/4/28
51963 ,5127 ,9.9%,杭州市,江干区,诚邦股份,浙江诚邦园林股份有限公司,建筑施工,诚邦股份(603316),浙江省杭州市之江路599号,浙江省杭州市之江路599号,www.cbylgf.com,2017/6/19
36157 ,5058 ,14.0%,宁波市,慈溪市新兴产业集群区,中大力德,宁波中大力德智能传动股份有限公司,工业机械,中大力德(002896),浙江省慈溪市新兴产业集群区宗汉街道新兴一路185号,浙江省慈溪市新兴产业集群区宗汉街道新兴一路185号,www.zd-motor.com,2017/8/29
31676 ,5047 ,15.9%,金华市,义乌市苏溪镇镇南小区,棒杰股份,浙江棒杰数码针织品股份有限公司,服装与服饰,棒杰股份(002634),浙江省义乌市苏溪镇镇南小区,浙江省义乌市苏溪镇镇南小区,www.bangjie.cn,2011/12/5
23355 ,5035 ,21.6%,金华市,武义县,寿仙谷,浙江寿仙谷医药股份有限公司,医药与生物科技,寿仙谷(603896),浙江省武义县壶山街道商城路10号,浙江省武义县壶山街道商城路10号,www.sxg1909.com,2017/5/10
22282 ,4736 ,21.3%,湖州市,德清县,三星新材,浙江三星新材股份有限公司,通用化工品,三星新材(603578),浙江省德清县禹越镇杭海路333号,浙江省德清县禹越镇杭海路333号,www.sxslhg.com,2017/3/6
42997 ,4617 ,10.7%,宁波市,海曙区,君禾股份,君禾泵业股份有限公司,电子电气组件与设备,君禾股份(603617),浙江省宁波市海曙区集士港镇万众村,浙江省宁波市海曙区集士港镇万众村,www.junhepumps.com,2017/7/3
36722 ,4608 ,12.5%,嘉兴市,嘉善县,田中精机,浙江田中精机股份有限公司,工业机械,田中精机(300461),浙江省嘉善县姚庄镇新景路398号,浙江省嘉善县姚庄镇新景路398号,www.tanac.com.cn,2015/5/19
24582 ,4596 ,18.7%,杭州市,滨江区,初灵信息,杭州初灵信息技术股份有限公司,通讯设备,初灵信息(300250),浙江省杭州市滨江区浦沿街道伟业路1号5幢,浙江省杭州市滨江区浦沿街道伟业路1号5幢,www.cncr-it.com,2011/8/3
33575 ,4580 ,13.6%,杭州市,萧山区,万隆光电,杭州万隆光电设备股份有限公司,通讯设备,万隆光电(300710),浙江省杭州市萧山区瓜沥友谊村,浙江省杭州市萧山区瓜沥友谊村,www.prevail-catv.com,2017/10/19
50683 ,4576 ,9.0%,温州市,乐清市,电光科技,电光防爆科技股份有限公司,工业机械,电光科技(002730),浙江省乐清经济开发区纬五路180号,浙江省乐清经济开发区纬五路180号,www.dianguang.com,2014/10/9
78282 ,4566 ,5.8%,金华市,义乌市,浙江世宝,浙江世宝股份有限公司,汽车零配件（IV）,浙江世宝(002703),浙江省义乌市佛堂镇双林路1号,浙江省义乌市佛堂镇双林路1号,www.zjshibao.com,2012/11/2
93842 ,4548 ,4.8%,杭州市,滨江区,华星创业,杭州华星创业通信技术股份有限公司,移动通信服务,华星创业(300025),浙江省杭州市滨江区长河街道聚才路500号,浙江省杭州市滨江区聚才路500号,www.hxcy.com.cn,2009/10/30
102146 ,4519 ,4.4%,杭州市,滨江区,众合科技,浙江众合科技股份有限公司,工业机械,众合科技(000925),浙江省杭州市滨江区江汉路1785号双城国际4号楼17层,浙江省杭州市滨江区江汉路1785号双城国际4号楼17层,www.unitedmne.com,1999/6/11
53189 ,4470 ,8.4%,宁波市,鄞州经济开发区,乐歌股份,乐歌人体工学科技股份有限公司,家具,乐歌股份(300729),浙江省宁波市鄞州经济开发区启航南路588号（鄞州区瞻岐镇）,浙江省宁波市鄞州经济开发区启航南路588号（鄞州区瞻岐镇）,www.loctek.com,2017/12/1
101215 ,4426 ,4.4%,绍兴市,柯桥区,华通医药,浙江华通医药股份有限公司,药品零售,华通医药(002758),浙江省绍兴市柯桥区轻纺城大道1605号,浙江省绍兴市柯桥区轻纺城大道1605号,www.sxhtyy.net,2015/5/27
42935 ,4358 ,10.1%,宁波市,高新区,美诺华,宁波美诺华药业股份有限公司,医药与生物科技,美诺华(603538),浙江省宁波市高新区扬帆路999弄1号1406室,浙江省宁波市高新区扬帆路999弄1号1406室,www.menovopharm.com,2017/4/7
34414 ,4345 ,12.6%,嘉兴市,海宁市,钱江生化,浙江钱江生物化学股份有限公司,特种化工品,钱江生化(600796),浙江省海宁市海洲街道钱江西路178号钱江大厦,浙江省海宁市海洲街道钱江西路178号钱江大厦,www.600796.com,1997/4/8
38922 ,4338 ,11.1%,宁波市,余姚市经济开发区,江丰电子,宁波江丰电子材料股份有限公司,电子设备,江丰电子(300666),浙江省余姚市经济开发区名邦科技工业园区安山路,浙江省余姚市经济开发区名邦科技工业园区安山路,www.kfmic.com,2017/6/15
50629 ,4294 ,8.5%,宁波市,北仑区,创源文化,宁波创源文化发展股份有限公司,造纸,创源文化(300703),浙江省宁波市北仑区庐山西路45号,浙江省宁波市北仑区庐山西路45号,www.cre8direct.net,2017/9/19
49230 ,4233 ,8.6%,绍兴市,嵊州市,迪贝电气,浙江迪贝电气股份有限公司,电子电气组件与设备,迪贝电气(603320),浙江省嵊州市三江街道迪贝路66号,浙江省嵊州市三江街道迪贝路66号,www.dibei.com,2017/5/2
159908 ,4202 ,2.6%,宁波市,北仑区,东方电缆,宁波东方电缆股份有限公司,电子电气组件与设备,东方电缆(603606),浙江省宁波市北仑区江南东路968号,浙江省宁波市北仑区江南东路968号,www.orientcable.com,2014/10/15
27912 ,4197 ,15.0%,温州市,永嘉县,迦南科技,浙江迦南科技股份有限公司,工业机械,迦南科技(300412),浙江省温州市永嘉县东瓯工业园区,浙江省永嘉县瓯北镇东瓯工业园区,www.china-jianan.com/cn/,2014/12/31
26904 ,4178 ,15.5%,绍兴市,杭州湾上虞经济技术开发区,中欣氟材,浙江中欣氟材股份有限公司,特种化工品,中欣氟材(002915),浙江省绍兴市杭州湾上虞经济技术开发区,浙江省绍兴市杭州湾上虞经济技术开发区,www.zxchemgroup.com,2017/12/5
23658 ,4120 ,17.4%,绍兴市,上虞区,金盾股份,浙江金盾风机股份有限公司,工业机械,金盾股份(300411),浙江省绍兴市上虞区章镇镇工业园区,浙江省绍兴市上虞区章镇镇工业园区,www.jindunfan.com,2014/12/31
884278 ,4107 ,0.5%,杭州市,上城区,航天通信,航天通信控股集团股份有限公司,服装与服饰,航天通信(600677),浙江省杭州市解放路138号航天通信大厦,浙江省杭州市解放路138号航天通信大厦一号楼,www.aerocom.cn,1993/9/28
171331 ,4051 ,2.4%,金华市,工业园区,今飞凯达,浙江今飞凯达轮毂股份有限公司,汽车零配件（IV）,今飞凯达(002863),浙江省金华市工业园区仙华南街800号,浙江省金华市工业园区仙华南街800号,www.jfkd.com.cn,2017/4/18
30691 ,4029 ,13.1%,杭州市,富阳市,中泰股份,杭州中泰深冷技术股份有限公司,工业机械,中泰股份(300435),浙江省富阳市东洲街道高尔夫路228号,浙江省富阳市东洲街道高尔夫路228号,www.zhongtaihangzhou.com,2015/3/26
66033 ,3820 ,5.8%,台州市,三门县,三维股份,浙江三维橡胶制品股份有限公司,通用化工品,三维股份(603033),浙江省台州市三门县海游街道下坑村,浙江省台州市三门县海游街道下坑村,www.three-v.com,2016/12/7
15260 ,3741 ,24.5%,宁波市,高新区,镇海股份,镇海石化工程股份有限公司,采油设备与服务,镇海股份(603637),浙江省宁波市高新区星海南路36号,浙江省宁波市高新区星海南路36号,www.izpec.com,2017/2/8
97077 ,3716 ,3.8%,杭州市,江干区,宋都股份,宋都基业投资股份有限公司,不动产投资开发,宋都股份(600077),浙江省杭州市富春路789号宋都大厦506室,浙江省杭州市富春路789号宋都大厦五楼,www.songdu.com,1997/5/20
24146 ,3713 ,15.4%,杭州市,滨江区,中威电子,杭州中威电子股份有限公司,通讯设备,中威电子(300270),浙江省杭州市西湖区文三路20号浙江建工大楼17层,浙江省杭州市滨江区西兴路1819号,www.joyware.com,2011/10/12
37560 ,3691 ,9.8%,杭州市,余杭经济技术开发区,诺邦股份,杭州诺邦无纺股份有限公司,服装服饰零售,诺邦股份(603238),浙江省杭州市余杭经济技术开发区宏达路16号,浙江省杭州市余杭经济技术开发区宏达路16号,www.nbond.cn,2017/2/22
27507 ,3660 ,13.3%,绍兴市,新昌县,美力科技,浙江美力科技股份有限公司,工业机械,美力科技(300611),浙江省新昌县新昌大道西路1365号,浙江省新昌县新昌大道西路1365号,www.china-springs.com,2017/2/20
19486 ,3613 ,18.5%,杭州市,余杭区,沪宁股份,杭州沪宁电梯部件股份有限公司,商用运载工具与车辆,沪宁股份(300669),浙江省杭州市余杭区中泰街道石鸽社区,浙江省杭州市余杭区中泰街道水塔村,www.hzhuning.com,2017/6/29
13970 ,3591 ,25.7%,台州市,临海市化学原料药基地临海园区,奥翔药业,浙江奥翔药业股份有限公司,医药与生物科技,奥翔药业(603229),浙江省临海市化学原料药基地临海园区东海第四大道5号,浙江省临海市化学原料药基地临海园区东海第四大道5号,www.ausunpharm.com,2017/5/9
32252 ,3571 ,11.1%,宁波市,宁海县,润禾材料,宁波润禾高新材料科技股份有限公司,特种化工品,润禾材料(300727),浙江省宁海县胡陈乡开发区,浙江省宁海县胡陈乡开发区,www.chinarunhe.com,2017/11/27
71999 ,3548 ,4.9%,丽水市,遂昌县,凯恩股份,浙江凯恩特种材料股份有限公司,造纸,凯恩股份(002012),浙江省遂昌县妙高镇凯恩路1008号,浙江省遂昌县妙高镇凯恩路1008号,www.zjkan.com,2004/7/5
69084 ,3511 ,5.1%,宁波市,海曙区,宁波中百,宁波中百股份有限公司,百货零售,宁波中百(600857),浙江省宁波市海曙区和义路77号21层,浙江省宁波市海曙区和义路77号汇金大厦21层,www.hitsc.com,1994/4/25
28416 ,3471 ,12.2%,杭州市,临安市,万马科技,万马科技股份有限公司,通讯设备,万马科技(300698),浙江省杭州市临安市太湖源镇青云村,浙江省杭州市临安市太湖源镇青云村,www.wanma-tech.cn,2017/8/31
112806 ,3319 ,2.9%,宁波市,海曙区,维科精华,宁波维科精华集团股份有限公司,电子电气组件与设备,维科精华(600152),浙江省宁波市和义路99号,浙江省宁波市柳汀街225号月湖金贸大厦20楼,www.vekenelite.com,1998/6/9
34040 ,3285 ,9.6%,杭州市,西湖区,纵横通信,杭州纵横通信股份有限公司,软件与计算机服务,纵横通信(603602),浙江省杭州市西湖区文三路90号11层A1105-A1108室,浙江省杭州市西湖区文三路90号11层A1105-A1108室,www.freelynet.com,2017/8/10
34427 ,3276 ,9.5%,金华市,永康市经济开发区,中坚科技,浙江中坚科技股份有限公司,工业机械,中坚科技(002779),浙江省永康市经济开发区名园南大道10号,浙江省永康市经济开发区名园南大道10号,www.topsunpower.cc,2015/12/9
85085 ,3228 ,3.8%,舟山市,定海区,金鹰股份,浙江金鹰股份有限公司,服装与服饰,金鹰股份(600232),浙江省舟山市定海区小沙镇,浙江省舟山市定海区小沙镇,www.cn-goldeagle.com,2000/6/2
33428 ,3116 ,9.3%,宁波市,北仑区,海伦钢琴,海伦钢琴股份有限公司,娱乐用品,海伦钢琴(300329),浙江省宁波市北仑区龙潭山路36号,浙江省宁波市北仑区龙潭山路36号,www.hailunpiano.com,2012/6/19
62522 ,3097 ,5.0%,嘉兴市,桐乡市,嘉澳环保,浙江嘉澳环保科技股份有限公司,化工品（II）,嘉澳环保(603822),浙江省桐乡经济开发区,浙江省桐乡经济开发区,--,2016/4/28
23267 ,3053 ,13.1%,杭州市,余杭区,万通智控,万通智控科技股份有限公司,汽车零配件（IV）,万通智控(300643),浙江省杭州市余杭区杭州余杭经济技术开发区振兴东路12号,浙江省杭州市余杭区杭州余杭经济技术开发区振兴东路12号,www.hamaton.com,2017/5/5
34868 ,2987 ,8.6%,宁波市,慈溪市新兴产业集群区,横河模具,宁波横河模具股份有限公司,特种化工品,横河模具(300539),浙江省慈溪市新兴产业集群区宗汉街道新兴大道588号,浙江省慈溪市新兴产业集群区宗汉街道新兴大道588号,www.mouldcenter.com,2016/8/30
64438 ,2977 ,4.6%,绍兴市,越城区,盛洋科技,浙江盛洋科技股份有限公司,电子电气组件与设备,盛洋科技(603703),浙江省绍兴市越城区人民东路1417号,浙江省绍兴市越城区人民东路1417号,www.shengyang.com,2015/4/23
55595 ,2817 ,5.1%,绍兴市,绍兴县,精功科技,浙江精功科技股份有限公司,工业机械,精功科技(002006),浙江省绍兴市柯桥区鉴湖路1809号,浙江省绍兴柯桥经济开发区柯西工业区鉴湖路1809号,www.jgtec.com.cn,2004/6/25
26374 ,2812 ,10.7%,杭州市,拱墅区,生意宝,浙江网盛生意宝股份有限公司,互联网,生意宝(002095),浙江省杭州市莫干山路187号易盛大厦12F,浙江省杭州市莫干山路187号易盛大厦12F,www.chinanetsun.com,2006/12/15
31887 ,2742 ,8.6%,杭州市,拱墅区,威星智能,浙江威星智能仪表股份有限公司,燃气供应,威星智能(002849),浙江省杭州市拱墅区莫干山路1418-41号6号楼（上城科技工业基地）,浙江省杭州市拱墅区莫干山路1418-41号6号楼,www.viewshine.cn,2017/2/17
32579 ,2706 ,8.3%,杭州市,下城区,汉鼎宇佑,汉鼎宇佑互联网股份有限公司,计算机服务,汉鼎宇佑(300300),浙江省杭州市下城区永福桥路5号汉鼎国际大厦南楼1101室,浙江省杭州市下城区永福桥路5号汉鼎国际大厦12楼、15楼,www.hakim.com.cn,2012/3/19
21777 ,2655 ,12.2%,金华市,金东经济开发区,金利华电,浙江金利华电气股份有限公司,电子电气组件与设备,金利华电(300069),浙江省金华市金东经济开发区,浙江省金华市金东经济开发区（傅村镇）,www.jlhdq.com,2010/4/21
59897 ,2647 ,4.4%,湖州市,德清县,佐力药业,浙江佐力药业股份有限公司,制药,佐力药业(300181),浙江省德清县阜溪街道志远北路388号,浙江省湖州市德清县武康镇志远路,www.zuoli.com,2011/2/22
9873 ,2562 ,25.9%,杭州市,滨江区,长川科技,杭州长川科技股份有限公司,工业机械,长川科技(300604),浙江省杭州市滨江区江淑路799号3幢第一、第二全楼层和第三、四、五层A单元,浙江省杭州市滨江区江淑路799号3幢第一、第二全楼层和第三、四、五层A单元,www.hzcctech.com,2017/4/17
56258 ,2535 ,4.5%,台州市,温岭市,跃岭股份,浙江跃岭股份有限公司,汽车零配件（IV）,跃岭股份(002725),浙江省温岭市泽国镇泽国大道888号,浙江省温岭市泽国镇现代大道北侧,www.yuering.com,2014/1/29
56813 ,2435 ,4.3%,绍兴市,袍江新区,德创环保,浙江德创环保科技股份有限公司,废物处理与回收服务,德创环保(603177),浙江省绍兴市袍江新区三江路以南,浙江省绍兴市袍江新区三江路以南,www.zj-tuna.com,2017/2/7
17511 ,2381 ,13.6%,杭州市,滨江区,和仁科技,浙江和仁科技股份有限公司,软件,和仁科技(300550),浙江省杭州市滨江区西兴街道新联路625号,浙江省杭州市滨江区西兴街道新联路625号,www.herenit.com,2016/10/18
21847 ,2374 ,10.9%,杭州市,滨江区,先锋电子,杭州先锋电子技术股份有限公司,工业机械,先锋电子(002767),浙江省杭州市滨江区滨安路1186-1号,浙江省杭州市滨江区滨安路1186-1号,www.innover.com.cn,2015/6/12
122821 ,2197 ,1.8%,杭州市,拱墅区,莱茵体育,莱茵达体育发展股份有限公司,不动产投资开发,莱茵体育(000558),浙江省杭州市文三路535号莱茵达大厦,浙江省杭州市文三路535号莱茵达大厦20楼,www.lander.com.cn,1994/5/9
8184 ,2094 ,25.6%,杭州市,余杭区,集智股份,杭州集智机电股份有限公司,工业机械,集智股份(300553),浙江省杭州市西湖区三墩镇西园三路10号,浙江省杭州市余杭区良渚街道七贤路1-1号,www.zjjizhi.com,2016/10/21
9488 ,2080 ,21.9%,杭州市,西湖区,杭州园林,杭州园林设计院股份有限公司,建筑施工,杭州园林(300649),浙江省杭州市西湖区杨公堤32号,浙江省杭州市西湖区杨公堤32号,www.hzyly.com,2017/5/5
207376 ,2058 ,1.0%,杭州市,富阳市,金固股份,浙江金固股份有限公司,商用运载工具与车辆,金固股份(002488),浙江省富阳市富春街道公园西路1181号,浙江省富阳市富春街道公园西路1181号,www.jgwheel.com,2010/10/21
72739 ,1978 ,2.7%,杭州市,滨江区,三维通信,三维通信股份有限公司,通讯设备,三维通信(002115),浙江省杭州市滨江区火炬大道581号,浙江省杭州市滨江区火炬大道581号,www.sunwave.com.cn,2007/2/15
22742 ,1959 ,8.6%,宁波市,江北投资创业园C区,宁波精达,宁波精达成形装备股份有限公司,工业机械,宁波精达(603088),浙江省宁波市江北投资创业园区,浙江省宁波市江北投资创业园C区长阳路191号,www.nbjingda.com,2014/11/11
44255 ,1909 ,4.3%,杭州市,余杭区,杭州高新,杭州高新橡塑材料股份有限公司,特种化工品,杭州高新(300478),浙江省杭州市余杭区径山镇龙皇路10号,浙江省杭州市余杭区径山镇龙皇路10号,www.gxsl.com,2015/6/10
498637 ,1864 ,0.4%,杭州市,拱墅区,美都能源,美都能源股份有限公司,不动产投资开发,美都能源(600175),浙江省德清县武康镇德清大道299号2601室、2602室,浙江省杭州市密渡桥路70号美都恒升名楼4楼,www.chinameidu.com,1999/4/8
117528 ,1662 ,1.4%,杭州市,萧山区,杭齿前进,杭州前进齿轮箱集团股份有限公司,工业机械,杭齿前进(601177),浙江省杭州市萧山区萧金路45号,浙江省杭州市萧山区萧金路45号,www.chinaadvance.com,2010/10/11
119918 ,1467 ,1.2%,嘉兴市,秀洲区,民丰特纸,民丰特种纸股份有限公司,造纸,民丰特纸(600235),浙江省嘉兴市?f里街70号,浙江省嘉兴市?f里街70号,www.minfenggroup.com,2000/6/15
52945 ,1362 ,2.6%,杭州市,滨江区,英飞特,英飞特电子(杭州)股份有限公司,电子电气组件与设备,英飞特(300582),浙江省杭州市滨江区长河街道江虹路459号A座,浙江省杭州市滨江区长河街道江虹路459号A座,cn.inventronics-co.com,2016/12/28
22899 ,1214 ,5.3%,杭州市,高新技术开发区,大立科技,浙江大立科技股份有限公司,电子设备,大立科技(002214),浙江省杭州市滨江区滨康路639号,浙江省杭州市高新技术开发区（滨江）滨康路639号,www.dali-tech.com,2008/2/18
56361 ,1035 ,1.8%,湖州市,吴兴区,美欣达,浙江美欣达印染集团股份有限公司,服装与服饰,美欣达(002034),浙江省湖州市天子圩路288号,浙江省湖州市美欣达路588号,www.mizuda.net,2004/8/26
96633 ,1008 ,1.0%,绍兴市,越城区,向日葵,浙江向日葵光能科技股份有限公司,电子电气组件与设备,向日葵(300111),浙江省绍兴袍江工业区三江路,浙江省绍兴袍江工业区三江路,www.sunowe.com.cn,2010/8/27
82886 ,468 ,0.6%,杭州市,滨江区,信雅达,信雅达系统工程股份有限公司,软件,信雅达(600571),浙江省杭州市滨江区江南大道3888号信雅达科技大厦,浙江省杭州市滨江区江南大道3888号,www.sunyard.com,2002/11/1
72517 ,196 ,0.3%,温州市,龙湾区,温州宏丰,温州宏丰电工合金股份有限公司,电子电气组件与设备,温州宏丰(300283),浙江省乐清市北白象镇大桥工业区塘下片区,浙江省温州瓯江口产业集聚区瓯锦大道5600号,www.wzhf.com,2012/1/10
23147 ,140 ,0.6%,杭州市,滨江区,开尔新材,浙江开尔新材料股份有限公司,建材与构件,开尔新材(300234),浙江省金华市金义都市经济开发区广顺街333号,浙江省杭州市滨江区长河街道江虹路1750号润和信雅达国际创意中心A座30层,www.zjke.com,2011/6/22
22895 ,77 ,0.3%,杭州市,西湖区,正元智慧,浙江正元智慧科技股份有限公司,软件与计算机服务,正元智慧(300645),浙江省杭州市余杭区文一西路1500号1幢301室,浙江省杭州市文一西路998号海创园18号楼8层,www.hzsun.com,2017/4/21
10868 ,-113 ,-1.0%,绍兴市,诸暨市,申科股份,申科滑动轴承股份有限公司,工业机械,申科股份(002633),浙江省诸暨市望云路132号,浙江省诸暨市陶朱街道望云路132号,www.shenke.com,2011/11/22
19806 ,-322 ,-1.6%,杭州市,西湖区,浙江广厦,浙江广厦股份有限公司,不动产投资开发,浙江广厦(600052),浙江省东阳市振兴路1号西侧,浙江省杭州市西湖区莫干山路231号锐明大厦15层,www.gsgf.com,1997/4/15
51435 ,-374 ,-0.7%,宁波市,鄞州区,先锋新材,宁波先锋新材料股份有限公司,通用化工品,先锋新材(300163),浙江省宁波市海曙区集士港镇山下庄村,浙江省宁波市鄞州区集士港镇山下庄村,www.aplus.cn;www.chinacurtains.com,2011/1/13
168440 ,-450 ,-0.3%,温州市,永嘉县,报喜鸟,报喜鸟控股股份有限公司,服装与服饰,报喜鸟(002154),浙江省永嘉县瓯北镇报喜鸟工业区,浙江省永嘉县瓯北镇报喜鸟工业区,www.bxn.com,2007/8/16
16815 ,-915 ,-5.4%,金华市,婺城区,东晶电子,浙江东晶电子股份有限公司,电子电气组件与设备,东晶电子(002199),浙江省金华市宾虹西路555号,浙江省金华市宾虹西路555号,www.ecec.com.cn,2007/12/21
17385 ,-1107 ,-6.4%,杭州市,余杭区,宝鼎科技,宝鼎科技股份有限公司,工业机械,宝鼎科技(002552),浙江省杭州余杭区塘栖镇工业园区内,浙江省杭州余杭区塘栖镇工业园区内,www.baoding-tech.com,2011/2/25
8449 ,-1220 ,-14.4%,杭州市,余杭区,天目药业,杭州天目山药业股份有限公司,制药,天目药业(600671),浙江省临安市苕溪南路78号,浙江省杭州市文二西路738号西溪乐谷3号楼,www.hztmyy.com,1993/8/23
8257 ,-1727 ,-20.9%,宁波市,江北区,*ST圣莱,宁波圣莱达电器股份有限公司,消费电子产品,*ST圣莱(002473),浙江省宁波市江北区金山路298号,浙江省宁波市江北区金山路298号,www.nbslt.com,2010/9/10
59047 ,-2031 ,-3.4%,宁波市,鄞州区,宁波富邦,宁波富邦精业集团股份有限公司,铝业,宁波富邦(600768),浙江省宁波市镇海骆驼机电工业园区,浙江省宁波市鄞州区天童北路702号工业城办公大楼三楼,www.600768.com.cn,1996/11/11
26086 ,-2185 ,-8.4%,绍兴市,诸暨市,步森股份,浙江步森服饰股份有限公司,服装与服饰,步森股份(002569),浙江省诸暨市枫桥镇步森大道419号,浙江省诸暨市枫桥镇步森大道419号,www.busen.cn,2011/4/12
77525 ,-2406 ,-3.1%,绍兴市,诸暨市,大东南,浙江大东南股份有限公司,特种化工品,大东南(002263),浙江省诸暨市城西工业区,浙江省诸暨市陶朱街道千禧路5号,www.chinaddn.com,2008/7/28
37239 ,-5669 ,-15.2%,台州市,三门县,三变科技,三变科技股份有限公司,电子电气组件与设备,三变科技(002112),浙江省三门县海游镇西区大道369号,浙江省三门县海游镇西区大道369号,www.sanbian.cn,2007/2/8
68363 ,-6197 ,-9.1%,台州市,玉环县,中捷资源,中捷资源投资股份有限公司,工业机械,中捷资源(002021),浙江省玉环县大麦屿街道兴港东路198号,浙江省玉环县大麦屿街道兴港东路198号,www.zoje.com,2004/7/15
121968 ,-7986 ,-6.5%,宁波市,奉化市,波导股份,宁波波导股份有限公司,通讯设备,波导股份(600130),浙江省奉化市大成东路999号,浙江省奉化市大成东路999号,www.chinabird.com,2000/7/6
749420 ,-8854 ,-1.2%,绍兴市,诸暨市,海越股份,浙江海越股份有限公司,石油勘探与开采,海越股份(600387),浙江省诸暨市西施大街59号,浙江省诸暨市西施大街59号,www.chinahaiyue.com,2004/2/18
200701 ,-35767 ,-17.8%,杭州市,滨江区,贝因美,贝因美婴童食品股份有限公司,食品生产（IV）,贝因美(002570),浙江省杭州市滨江区南环路3758号,浙江省杭州市滨江区南环路3758号,www.beingmate.com,2011/4/12
{d1},{d2},,杭州市,江干区,杭汽轮B(200771),,,杭汽轮B(200771),浙江省杭州市石桥路357号,浙江省杭州市石桥路357号,,
