公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
宁波银行,宁波银行股份有限公司,银行业（IV）,1857479,835073,45.00%,宁波市,鄞州区,浙江省宁波市鄞州区宁南南路700号
海康威视,杭州海康威视数字技术股份有限公司,电子设备,2772974,668415,24.10%,杭州市,滨江区,浙江省杭州市滨江区阡陌路555号
浙能电力,浙江浙能电力股份有限公司,电力（IV）,3758368,477793,12.70%,杭州市,西湖区,浙江省杭州市天目山路152号浙能大厦2楼
杭州银行,杭州银行股份有限公司,金融服务业,1020784,421809,41.30%,杭州市,下城区,浙江省杭州市下城区庆春路46号
宁波港,宁波港股份有限公司,运输服务,1300244,306855,23.60%,宁波市,北仑区,浙江省宁波市北仑区明州路301号宁波港大厦
雅戈尔,雅戈尔集团股份有限公司,不动产投资开发,738285,297035,40.20%,宁波市,海曙区,浙江省宁波市海曙区鄞县大道西段2号
浙江龙盛,浙江龙盛集团股份有限公司,特种化工品,1121665,252777,22.50%,绍兴市,上虞区,浙江省绍兴市上虞区道墟镇
正泰电器,浙江正泰电器股份有限公司,电子电气组件与设备,1593659,232149,14.60%,温州市,乐清市,浙江省乐清市北白象镇正泰工业园区正泰路1号
物产中大,物产中大集团股份有限公司,综合供应商,19277951,199521,1.00%,杭州市,下城区,浙江省杭州市中大广场A座
华东医药,华东医药股份有限公司,药品零售,2145087,191756,8.90%,杭州市,拱墅区,浙江省杭州市莫干山路866号（祥符桥）
新湖中宝,新湖中宝股份有限公司,不动产投资开发,932488,185795,19.90%,杭州市,西湖区,浙江省杭州市西溪路128号新湖商务大厦11层
滨江集团,杭州滨江房产集团股份有限公司,不动产投资开发,649326,180983,27.90%,杭州市,江干区,浙江省杭州市庆春东路38号
小商品城,浙江中国小商品城集团股份有限公司,综合工业,893744,176081,19.70%,金华市,义乌市,浙江省义乌市福田路105号海洋商务写字楼
荣盛石化,荣盛石化股份有限公司,通用化工品,5236280,172634,3.30%,杭州市,萧山区,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼
恒逸石化,恒逸石化股份有限公司,通用化工品,4708993,163113,3.50%,杭州市,萧山区,浙江省杭州市萧山区市心北路260号恒逸?南岸明珠3栋24楼
浙数文化,浙报数字文化集团股份有限公司,出版业,116739,161330,138.20%,杭州市,下城区,浙江省杭州市体育场路178号浙报产业大厦
大华股份,浙江大华技术股份有限公司,电子设备,1172329,154708,13.20%,杭州市,滨江区,浙江省杭州市滨江区滨安路1199号
财通证券,财通证券股份有限公司,金融服务业,312370,145837,46.70%,杭州市,西湖区,浙江省杭州市杭大路15号嘉华国际商务中心201，501，502，1103，1601-1615，1701-1716
桐昆股份,桐昆集团股份有限公司,通用化工品,2330414,145701,6.30%,嘉兴市,桐乡市,浙江省桐乡市经济开发区光明路199号
华友钴业,浙江华友钴业股份有限公司,有色金属,614596,134450,21.90%,嘉兴市,桐乡市,浙江省桐乡经济开发区二期梧振东路18号
均胜电子,宁波均胜电子股份有限公司,汽车零配件（IV）,1941158,132652,6.80%,宁波市,高新区,浙江省宁波市高新区聚贤路1266号
新凤鸣,新凤鸣集团股份有限公司,通用化工品,1686507,119259,7.10%,嘉兴市,桐乡市,浙江省桐乡市洲泉工业区德胜路888号
杭钢股份,杭州钢铁股份有限公司,钢铁,2045431,116846,5.70%,杭州市,拱墅区,浙江省杭州市拱墅区半山路178号
三花智控,浙江三花智能控制股份有限公司,工业机械,718965,116483,16.20%,绍兴市,新昌县,浙江省新昌县七星街道下礼泉
合盛硅业,合盛硅业股份有限公司,通用化工品,492145,115550,23.50%,嘉兴市,平湖市,浙江省嘉兴市乍浦镇雅山西路530号
宋城演艺,宋城演艺发展股份有限公司,广播与娱乐,231433,113855,49.20%,杭州市,江干区,浙江省杭州市之江路148号
苏泊尔,浙江苏泊尔炊具股份有限公司,耐用消费品,1049664,107961,10.30%,杭州市,滨江区,浙江省杭州市高新技术产业区江晖路1772号苏泊尔大厦19楼
亿帆医药,亿帆医药股份有限公司,制药,306502,106434,34.70%,杭州市,临安市,浙江省临安市锦城街道琴山50号
老板电器,杭州老板电器股份有限公司,耐用消费品,498793,106104,21.30%,杭州市,余杭区,浙江省杭州余杭区余杭经济开发区临平大道592号
新和成,浙江新和成股份有限公司,制药,409217,105422,25.80%,绍兴市,新昌县,浙江省新昌县七星街道大道西路418号
浙商证券,浙商证券股份有限公司,金融服务业,328531,105215,32.00%,杭州市,西湖区,浙江省杭州市杭大路1号
巨化股份,浙江巨化股份有限公司,通用化工品,1002290,101364,10.10%,衢州市,柯城区,浙江省衢州市柯城区
卧龙电气,卧龙电气集团股份有限公司,工业机械,759623,88716,11.70%,绍兴市,上虞区,浙江省绍兴市上虞区人民西路1801号
万丰奥威,浙江万丰奥威汽轮股份有限公司,汽车零配件（IV）,731581,86362,11.80%,绍兴市,新昌县,浙江省新昌县城关镇新昌工业区（后溪）
世纪华通,浙江世纪华通集团股份有限公司,汽车零配件（IV）,246109,83578,34.00%,绍兴市,上虞市,浙江省上虞市经济开发区北一路
浙江东方,浙江东方集团股份有限公司,服装与服饰,681955,82502,12.10%,杭州市,上城区,浙江省杭州市西湖大道12号
嘉化能源,浙江嘉化能源化工股份有限公司,通用化工品,400878,82266,20.50%,嘉兴市,平湖市,浙江省嘉兴港区乍浦经济开发区滨海大道2288号
闰土股份,浙江闰土股份有限公司,特种化工品,449535,80274,17.90%,绍兴市,上虞市,浙江省上虞市市民大道1009号财富广场1号楼闰土大厦
卫星石化,浙江卫星石化股份有限公司,特种化工品,612485,76209,12.40%,嘉兴市,南湖区,浙江省嘉兴市嘉兴工业园区步焦路
康恩贝,浙江康恩贝制药股份有限公司,制药,378345,74349,19.70%,杭州市,滨江区,浙江省杭州市高新技术开发区滨江科技经济园滨康路568号
万向钱潮,万向钱潮股份有限公司,汽车零配件（IV）,804648,70403,8.70%,杭州市,萧山区,浙江省杭州市萧山经济技术开发区万向路
伟星新材,浙江伟星新型建材股份有限公司,建材与构件,257572,65078,25.30%,台州市,临海市,浙江省临海经济开发区
银亿股份,银亿房地产股份有限公司,不动产投资开发,480401,63131,13.10%,宁波市,江北区,浙江省宁波市江北区人民路132号银亿外滩大厦6楼
杭萧钢构,杭萧钢构股份有限公司,建材与构件,319043,62926,19.70%,杭州市,萧山区,浙江省杭州市萧山经济技术开发区红垦农场
海亮股份,浙江海亮股份有限公司,有色金属,2098774,60667,2.90%,绍兴市,诸暨市,浙江省诸暨市店口镇工业区
顾家家居,顾家家居股份有限公司,家具,484798,59994,12.40%,杭州市,江干区,浙江省杭州经济技术开发区11号大街113号
荣安地产,荣安地产股份有限公司,不动产投资开发,388978,59984,15.40%,宁波市,海曙区,浙江省宁波市海曙区灵桥路513号天封大厦11楼、15楼、16楼
上峰水泥,甘肃上峰水泥股份有限公司,建材与构件,293943,59285,20.20%,杭州市,西湖区,浙江省杭州市西湖区文二西路738号西溪乐谷创意产业园1幢E单元
万里扬,浙江万里扬股份有限公司,商用运载工具与车辆,376727,58590,15.60%,金华市,婺城区,浙江省金华市宾虹西路3999号
拓普集团,宁波拓普集团股份有限公司,汽车零配件（IV）,354037,58471,16.50%,宁波市,北仑区,浙江省宁波市北仑区黄山西路215号
兴源环境,兴源环境科技股份有限公司,综合公共事业,258381,56576,21.90%,杭州市,余杭区,浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号
巨星科技,杭州巨星科技股份有限公司,耐用消费品,310217,56398,18.20%,杭州市,江干区,浙江省杭州市江干区九环路35号
同花顺,浙江核新同花顺网络信息股份有限公司,软件,98633,56285,57.10%,杭州市,余杭区,浙江省杭州市余杭区同顺街18号
华海药业,浙江华海药业股份有限公司,制药,351002,55681,15.90%,台州市,临海市,浙江省临海市汛桥
景兴纸业,浙江景兴纸业股份有限公司,造纸,391165,54889,14.00%,嘉兴市,平湖市,浙江省平湖市曹桥镇
东方日升,东方日升新能源股份有限公司,电子电气组件与设备,747612,53965,7.20%,宁波市,宁海县,浙江省宁波市宁海县梅林街道塔山工业园区
航民股份,浙江航民股份有限公司,服装与服饰,253224,53495,21.10%,杭州市,萧山区,浙江省杭州市萧山区瓜沥镇航民村
杉杉股份,宁波杉杉股份有限公司,电子电气组件与设备,664368,53125,8.00%,宁波市,鄞州区,浙江省宁波市望春工业园区云林中路218号
中金环境,南方中金环境股份有限公司,工业机械,257340,51670,20.10%,杭州市,余杭区,浙江省杭州余杭区仁和镇
三星医疗,宁波三星医疗电气股份有限公司,工业机械,346914,50026,14.40%,宁波市,鄞州区,浙江省宁波市鄞州工业园区（宁波市鄞州区姜山镇）
顺网科技,杭州顺网科技股份有限公司,计算机服务,119223,49191,41.30%,杭州市,西湖区,浙江省杭州市西湖区文一西路857号杭州智慧产业创业园A座
横店东磁,横店集团东磁股份有限公司,电子电气组件与设备,435671,47495,10.90%,金华市,东阳市,浙江省东阳市横店工业区
华数传媒,华数传媒控股股份有限公司,广播与娱乐,225244,46794,20.80%,杭州市,滨江区,浙江省杭州市滨江区长江路79号华数白马湖数字电视产业园B座
杭叉集团,杭叉集团股份有限公司,工业机械,516821,46444,9.00%,杭州市,临安市,浙江省临安经济开发区东环路88号
海兴电力,杭州海兴电力科技股份有限公司,电力（III）,206053,46271,22.50%,杭州市,拱墅区,浙江省杭州市莫干山路1418号（上城工业园区）
迪安诊断,浙江迪安诊断技术股份有限公司,医疗保健服务,367553,43295,11.80%,杭州市,西湖区,浙江省杭州市西湖科技园金蓬街329号
爱柯迪,爱柯迪股份有限公司,汽车与零配件（II）,156662,43288,27.60%,宁波市,江北区,浙江省宁波市江北区金山路588号
伟明环保,浙江伟明环保股份有限公司,废物处理与回收服务,72244,42753,59.20%,温州市,鹿城区,浙江省温州市市府路525号同人恒玖大厦16楼
福斯特,杭州福斯特应用材料股份有限公司,通用化工品,339922,42636,12.50%,杭州市,临安市,浙江省临安市锦北街道保锦路
百隆东方,百隆东方股份有限公司,服装与服饰,456503,40509,8.90%,宁波市,鄞州区,浙江省宁波市鄞州区甬江大道188号宁波财富中心8楼
杭锅股份,杭州锅炉集团股份有限公司,工业机械,270560,39154,14.50%,杭州市,江干区,浙江省杭州市江干区大农港路1216号
尖峰集团,浙江尖峰集团股份有限公司,建材与构件,196620,38575,19.60%,金华市,婺城区,浙江省金华市婺江东路88号
帝龙文化,浙江帝龙文化发展股份有限公司,造纸,197096,37913,19.20%,杭州市,临安市,浙江省临安市玲珑工业区环南路1958号
轻纺城,浙江中国轻纺城集团股份有限公司,商业辅助服务,64096,37605,58.70%,绍兴市,柯桥区,浙江省绍兴市柯桥区柯桥街道鉴湖路1号中轻大厦
吉华集团,浙江吉华集团股份有限公司,化工品（II）,191323,37219,19.50%,杭州市,萧山区,浙江省杭州市萧山区临江工业园新世纪大道1766号
横店影视,横店影视股份有限公司,广播与娱乐,193636,36901,19.10%,金华市,东阳市,浙江省东阳市横店镇横店影视产业实验区商务楼
伟星股份,浙江伟星实业发展股份有限公司,服装与服饰,185526,36728,19.80%,台州市,临海市,浙江省临海市花园工业区
阳光照明,浙江阳光照明电器集团股份有限公司,耐用消费品,368922,36665,9.90%,绍兴市,上虞区,浙江省绍兴市上虞区凤山路485号
亚厦股份,浙江亚厦装饰股份有限公司,建筑施工,623984,35912,5.80%,杭州市,西湖区,浙江省杭州市西湖区沙秀路99号亚厦中心A座
金龙机电,金龙机电股份有限公司,电子电气组件与设备,249432,35579,14.30%,温州市,乐清市,浙江省温州市乐清市北白象镇进港大道边金龙科技园
华策影视,浙江华策影视股份有限公司,广播与娱乐,249732,35496,14.20%,杭州市,西湖区,浙江省杭州市西湖区文二西路683号西溪创意产业园C-C座
海宁皮城,海宁中国皮革城股份有限公司,百货零售,124008,35312,28.50%,嘉兴市,海宁市,浙江省海宁市海州西路201号
聚光科技,聚光科技(杭州)股份有限公司,电子设备,166265,35168,21.20%,杭州市,滨江区,浙江省杭州市滨江区阡陌路459号
金圆股份,金圆水泥股份有限公司,建材与构件,282013,34669,12.30%,杭州市,滨江区,浙江省杭州市滨江区江虹路1750号润和信雅达创意中心1号楼22楼
尤夫股份,浙江尤夫高新纤维股份有限公司,通用化工品,371381,34636,9.30%,湖州市,南浔区,浙江省湖州市和孚镇工业园区
美盛文化,美盛文化创意股份有限公司,广播与娱乐,68430,34171,49.90%,绍兴市,新昌县,浙江省绍兴市新昌省级高新技术园区内（南岩）
海翔药业,浙江海翔药业股份有限公司,制药,172173,33928,19.70%,台州市,椒江区,浙江省台州市椒江区外沙支路100号
闻泰科技,闻泰科技股份有限公司,通讯设备,1255857,33286,2.70%,嘉兴市,南湖区,浙江省嘉兴市南湖区亚中路777号
华峰氨纶,浙江华峰氨纶股份有限公司,通用化工品,303437,32959,10.90%,温州市,瑞安市,浙江省瑞安经济开发区开发区大道1788号
台华新材,浙江台华新材料股份有限公司,服装与服饰,201813,32876,16.30%,嘉兴市,秀洲区,浙江省嘉兴市秀洲区王店镇工业园区
水晶光电,浙江水晶光电科技股份有限公司,电子电气组件与设备,151741,32359,21.30%,台州市,椒江区,浙江省台州市椒江区三甲街道开发大道东段2198号
富春环保,浙江富春江环保热电股份有限公司,电力（IV）,247615,31501,12.70%,杭州市,富阳市,浙江省富阳市灵桥镇春永路188号
永太科技,浙江永太科技股份有限公司,特种化工品,189104,31497,16.70%,台州市,临海市,浙江省化学原料药基地临海园区
金科文化,浙江金科文化产业股份有限公司,通用化工品,118579,31447,26.50%,杭州市,萧山区,浙江省杭州市萧山区钱江世纪城平澜路299号浙江商会大厦36层
银轮股份,浙江银轮机械股份有限公司,汽车零配件（IV）,309062,31368,10.10%,台州市,天台县,浙江省天台县福溪街道交通运输机械工业园区
恒生电子,恒生电子股份有限公司,软件,165058,31350,19.00%,杭州市,滨江区,浙江省杭州市滨江区江南大道3588号恒生大厦
江山化工,浙江江山化工股份有限公司,特种化工品,338989,31269,9.20%,衢州市,江山市,浙江省江山市景星东路38号
荣晟环保,浙江荣晟环保纸业股份有限公司,造纸,149026,31058,20.80%,嘉兴市,平湖市,浙江省平湖市经济开发区镇南东路588号
宁波韵升,宁波韵升股份有限公司,工业机械,135249,30966,22.90%,宁波市,江东区,浙江省宁波市国家高新区扬帆路1号
兔宝宝,德华兔宝宝装饰新材股份有限公司,建材与构件,295148,30962,10.50%,湖州市,德清县,浙江省德清县武康镇临溪街588号
杭州解百,杭州解百集团股份有限公司,百货零售,405122,30729,7.60%,杭州市,下城区,浙江省杭州市下城区环城北路208号坤和中心36-37楼
海正药业,浙江海正药业股份有限公司,制药,817631,30377,3.70%,台州市,椒江区,浙江省台州市椒江区外沙路46号
兄弟科技,兄弟科技股份有限公司,通用化工品,107895,30373,28.20%,嘉兴市,海宁市,浙江省海宁市海洲街道学林街1号
露笑科技,露笑科技股份有限公司,有色金属,234058,30015,12.80%,绍兴市,诸暨市,浙江省诸暨市店口镇露笑路38号
钱江水利,钱江水利开发股份有限公司,水务,72347,29954,41.40%,杭州市,西湖区,浙江省杭州市三台山路3号
泰格医药,杭州泰格医药科技股份有限公司,医疗保健服务,117495,29795,25.40%,杭州市,滨江区,浙江省杭州市滨江区江南大道618号东冠大厦15-16层
宁波富达,宁波富达股份有限公司,不动产投资开发,238630,29748,12.50%,宁波市,海曙区,浙江省宁波市海曙区解放南路208号建设大厦18-19楼
双林股份,宁波双林汽车部件股份有限公司,汽车零配件（IV）,298289,29677,9.90%,宁波市,宁海县,浙江省宁波市宁海县西店镇潢溪口
红蜻蜓,江红蜻蜓鞋业股份有限公司,鞋类,227836,29249,12.80%,温州市,永嘉县,浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路
南都电源,浙江南都电源动力股份有限公司,电子电气组件与设备,635361,29054,4.60%,杭州市,西湖区,浙江省杭州市紫荆花路50号A座9楼
卧龙地产,卧龙地产集团股份有限公司,不动产投资开发,105682,28306,26.80%,绍兴市,上虞区,浙江省绍兴市上虞区经济开发区人民西路1801号
京新药业,浙江京新药业股份有限公司,制药,154596,27964,18.10%,绍兴市,新昌县,浙江省新昌县羽林街道新昌大道东路800号
永兴特钢,永兴特种不锈钢股份有限公司,钢铁,292295,27874,9.50%,湖州市,吴兴区,浙江省湖州市杨家埠
杰克股份,杰克缝纫机股份有限公司,工业机械,211539,27871,13.20%,台州市,椒江区,浙江省台州市椒江区机场南路15号
海利得,浙江海利得新材料股份有限公司,通用化工品,233203,27692,11.90%,嘉兴市,海宁市,浙江省海宁市马桥镇经编产业园区新民路18号
康盛股份,浙江康盛股份有限公司,工业机械,244823,27248,11.10%,杭州市,淳安县,浙江省杭州市淳安县千岛湖镇康盛路268号
浙江鼎力,浙江鼎力机械股份有限公司,工业机械,86588,26832,31.00%,湖州市,德清县,浙江省德清县雷甸镇白云南路1255号
继峰股份,宁波继峰汽车零部件股份有限公司,汽车零配件（IV）,131174,26392,20.10%,宁波市,北仑区,浙江省宁波市北仑区大?\璎珞河路17号
杭氧股份,杭州杭氧股份有限公司,工业机械,465023,26388,5.70%,杭州市,下城区,浙江省杭州市下城区中山北路592号弘元大厦
晶盛机电,浙江晶盛机电股份有限公司,工业机械,125747,26229,20.90%,杭州市,余杭区,浙江省杭州市余杭区五常街道创智天地中心2号楼10楼
宁波联合,宁波联合集团股份有限公司,综合供应商,459592,25635,5.60%,宁波市,北仑区,浙江省宁波开发区东海路1号联合大厦
博威合金,宁波博威合金材料股份有限公司,有色金属,421796,23867,5.70%,宁波市,鄞州区,浙江省宁波市鄞州区鄞州大道东段1777号博威大厦11楼
浙大网新,浙大网新科技股份有限公司,计算机服务,206527,23829,11.50%,杭州市,西湖区,浙江省杭州市西园一路18号浙大网新软件园A楼15层
安正时尚,安正时尚集团股份有限公司,服装与服饰,99604,23599,23.70%,嘉兴市,海宁市,浙江省海宁市海宁经济开发区谷水路298号
艾格拉斯,艾格拉斯股份有限公司,互联网,48777,23584,48.40%,金华市,婺城区,浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）
联化科技,联化科技股份有限公司,特种化工品,290609,23297,8.00%,台州市,黄岩区,浙江省台州市黄岩区劳动北路总商会大厦17楼
通策医疗,通策医疗投资股份有限公司,医疗保健服务,87015,22839,26.20%,杭州市,西湖区,浙江省杭州市灵溪北路21号合生国贸中心5号楼10楼
传化智联,传化智联股份有限公司,特种化工品,1199543,22822,1.90%,杭州市,萧山区,浙江省杭州市萧山区民和路945号传化大厦16F
东睦股份,东睦新材料集团股份有限公司,有色金属,129745,22766,17.50%,宁波市,鄞州区,浙江省宁波市鄞州工业园区（姜山）景江路8号
新安股份,浙江新安化工集团股份有限公司,特种化工品,547600,22736,4.20%,杭州市,建德市,浙江省建德市江滨中路新安大厦1号
奥康国际,浙江奥康鞋业股份有限公司,鞋类,227299,22498,9.90%,温州市,永嘉县,浙江省永嘉县瓯北镇千石工业区奥康工业园
