公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
华鼎股份,义乌华鼎锦纶股份有限公司,通用化工品,200104,7255,3.60%,金华市,义乌市,浙江省义乌市北苑工业区雪峰西路751号
泰瑞机器,泰瑞机器股份有限公司,电子与电气设备,50943,7209,14.20%,杭州市,江干区,浙江省杭州市杭州经济技术开发区下沙街道文泽北路245号
佩蒂股份,佩蒂动物营养科技股份有限公司,农业与渔业,42321,7181,17.00%,温州市,平阳县,浙江省平阳县水头镇工业园区宠乐路2号
梅轮电梯,浙江梅轮电梯股份有限公司,电子电气组件与设备,55461,7077,12.80%,绍兴市,绍兴县,浙江省绍兴市柯北工业园区梅中路576号
正裕工业,浙江正裕工业股份有限公司,汽车与零配件（II）,62950,7028,11.20%,台州市,玉环县,浙江省玉环县珠港镇三合潭工业区双港路
德宏股份,浙江德宏汽车电子电器股份有限公司,电子电气组件与设备,36626,6940,18.90%,湖州市,吴兴区,浙江省湖州市南太湖大道1888号
巴士在线,巴士在线股份有限公司,电子电气组件与设备,53640,6918,12.90%,嘉兴市,嘉善县,浙江省嘉善县经济开发区东升路36号
中恒电气,杭州中恒电气股份有限公司,工业机械,54850,6819,12.40%,杭州市,高新区,浙江省杭州市高新区之江科技工业园东信大道69号
栋梁新材,浙江栋梁新材股份有限公司,铝业,990450,6676,0.70%,湖州市,吴兴区,浙江省湖州市织里镇栋梁路
赞宇科技,浙江赞宇科技股份有限公司,特种化工品,528279,6630,1.30%,杭州市,西湖区,浙江省杭州市西湖区古墩路702号
牧高笛,牧高笛户外用品股份有限公司,服装与服饰,41872,6523,15.60%,衢州市,柯城区,浙江省衢州市世纪大道895号1幢
博创科技,博创科技股份有限公司,通讯设备,25846,6470,25.00%,嘉兴市,南湖区,浙江省嘉兴市凌公塘路1号207室
永创智能,杭州永创智能设备股份有限公司,工业机械,95481,6445,6.70%,杭州市,西湖区,浙江省杭州市西湖区三墩镇西园九路1号
金石资源,金石资源集团股份有限公司,采矿业,23916,6418,26.80%,杭州市,西湖区,浙江省杭州市西湖区求是路8号公元大厦南楼2301室
星光农机,星光农机股份有限公司,综合工业,55447,6403,11.50%,湖州市,南浔区,浙江省湖州市和孚镇星光大街1688号
圣龙股份,宁波圣龙汽车动力系统股份有限公司,汽车与零配件（II）,108789,6354,5.80%,宁波市,鄞州区,浙江省宁波市鄞州区工业园区金达路788号
元成股份,浙江元成园林集团股份有限公司,林业,50937,6351,12.50%,杭州市,江干区,浙江省杭州市庆春东路2-6号第15层
浙江众成,浙江众成包装材料股份有限公司,特种化工品,46395,6332,13.60%,嘉兴市,嘉善县,浙江省嘉善县惠民街道泰山路1号
中马传动,浙江中马传动股份有限公司,汽车与零配件（II）,63922,6264,9.80%,台州市,温岭市,浙江省温岭市石塘镇上马工业区经一路1号
乐惠国际,宁波乐惠国际工程装备股份有限公司,酿酒业,63843,6260,9.80%,宁波市,象山县,浙江省宁波市象山县西周镇象西机电工业园
雷迪克,杭州雷迪克节能科技股份有限公司,汽车零配件（IV）,34569,6204,17.90%,杭州市,萧山区,浙江省杭州萧山经济技术开发区桥南区块春潮路89号
浙江震元,浙江震元股份有限公司,药品零售,188323,6183,3.30%,绍兴市,越城区,浙江省绍兴市解放北路289号
弘讯科技,宁波弘讯科技股份有限公司,电子电气组件与设备,55466,6044,10.90%,宁波市,北仑区,浙江省宁波市北仑区大港五路88号
戴维医疗,宁波戴维医疗器械股份有限公司,医疗设备,21263,6026,28.30%,宁波市,象山县,浙江省宁波市象山县石浦科技园区科苑路2号
华仪电气,华仪电气股份有限公司,电子电气组件与设备,122319,6005,4.90%,温州市,乐清市,浙江省乐清经济开发区中心大道228号
日发精机,浙江日发精密机械股份有限公司,工业机械,74962,5914,7.90%,绍兴市,新昌县,浙江省新昌县七星街道日发数码科技园
乔治白,浙江乔治白服饰股份有限公司,服装与服饰,54535,5895,10.80%,温州市,平阳县,浙江省平阳县昆阳镇平瑞公路588号及昆阳镇乔治白休闲服饰生产基地
百达精工,浙江百达精工股份有限公司,汽车零配件（IV）,52069,5867,11.30%,台州市,椒江区,浙江省台州市经中路908弄28号
圣达生物,浙江圣达生物药业股份有限公司,食品生产（III）,36961,5843,15.80%,台州市,天台县,浙江省天台县赤城街道人民东路789号
天铁股份,浙江天铁实业股份有限公司,通用化工品,20410,5710,28.00%,台州市,天台县,浙江省天台县人民东路928号
菲达环保,浙江菲达环保科技股份有限公司,工业机械,280216,5689,2.00%,绍兴市,诸暨市,浙江省诸暨市望云路88号
天成自控,浙江天成自控股份有限公司,汽车零配件（IV）,50549,5648,11.20%,台州市,天台县,浙江省台州市天台县西工业区
钱江摩托,浙江钱江摩托股份有限公司,汽车,185975,5609,3.00%,台州市,温岭市,浙江省温岭市经济开发区
盾安环境,浙江盾安人工环境股份有限公司,工业机械,587441,5543,0.90%,杭州市,滨江区,浙江省杭州市滨江区滨安路1190号智汇领地科技园B座
扬帆新材,浙江扬帆新材料股份有限公司,通用化工品,32368,5523,17.10%,杭州市,滨江区,浙江省杭州市滨江区信诚路31号扬帆大厦五楼
济民制药,浙江济民制药股份有限公司,医疗设备,45054,5458,12.10%,台州市,黄岩区,浙江省台州市黄岩区北院路888号
合力科技,宁波合力模具科技股份有限公司,汽车零配件（IV）,34823,5355,15.40%,宁波市,象山县,浙江省象山工业园区西谷路358号
华瑞股份,华瑞电器股份有限公司,电子电气组件与设备,60057,5288,8.80%,宁波市,鄞州区,浙江省宁波市鄞州区姜山镇科技园区
激智科技,宁波激智科技股份有限公司,电子电气组件与设备,49918,5254,10.50%,宁波市,江东区,浙江省宁波高新区晶源路9号
东方材料,新东方新材料股份有限公司,通用化工品,31241,5204,16.70%,台州市,黄岩区,台州市黄岩区东城街道劳动北路118号8楼
诚意药业,浙江诚意药业股份有限公司,制药,22678,5176,22.80%,温州市,洞头区,浙江省温州市洞头区化工路118号
永和智控,永和流体智控股份有限公司,工业机械,40754,5154,12.60%,台州市,玉环县,浙江省玉环县清港镇工业产业集聚区
诚邦股份,浙江诚邦园林股份有限公司,建筑施工,51963,5127,9.90%,杭州市,江干区,浙江省杭州市之江路599号
中大力德,宁波中大力德智能传动股份有限公司,工业机械,36157,5058,14.00%,宁波市,慈溪市,浙江省慈溪市新兴产业集群区宗汉街道新兴一路185号
棒杰股份,浙江棒杰数码针织品股份有限公司,服装与服饰,31676,5047,15.90%,金华市,义乌市,浙江省义乌市苏溪镇镇南小区
寿仙谷,浙江寿仙谷医药股份有限公司,医药与生物科技,23355,5035,21.60%,金华市,武义县,浙江省武义县壶山街道商城路10号
三星新材,浙江三星新材股份有限公司,通用化工品,22282,4736,21.30%,湖州市,德清县,浙江省德清县禹越镇杭海路333号
君禾股份,君禾泵业股份有限公司,电子电气组件与设备,42997,4617,10.70%,宁波市,海曙区,浙江省宁波市海曙区集士港镇万众村
田中精机,浙江田中精机股份有限公司,工业机械,36722,4608,12.50%,嘉兴市,嘉善县,浙江省嘉善县姚庄镇新景路398号
初灵信息,杭州初灵信息技术股份有限公司,通讯设备,24582,4596,18.70%,杭州市,滨江区,浙江省杭州市滨江区浦沿街道伟业路1号5幢
万隆光电,杭州万隆光电设备股份有限公司,通讯设备,33575,4580,13.60%,杭州市,萧山区,浙江省杭州市萧山区瓜沥友谊村
电光科技,电光防爆科技股份有限公司,工业机械,50683,4576,9.00%,温州市,乐清市,浙江省乐清经济开发区纬五路180号
浙江世宝,浙江世宝股份有限公司,汽车零配件（IV）,78282,4566,5.80%,金华市,义乌市,浙江省义乌市佛堂镇双林路1号
华星创业,杭州华星创业通信技术股份有限公司,移动通信服务,93842,4548,4.80%,杭州市,滨江区,浙江省杭州市滨江区聚才路500号
众合科技,浙江众合科技股份有限公司,工业机械,102146,4519,4.40%,杭州市,滨江区,浙江省杭州市滨江区江汉路1785号双城国际4号楼17层
乐歌股份,乐歌人体工学科技股份有限公司,家具,53189,4470,8.40%,宁波市,鄞州区,浙江省宁波市鄞州经济开发区启航南路588号（鄞州区瞻岐镇）
华通医药,浙江华通医药股份有限公司,药品零售,101215,4426,4.40%,绍兴市,柯桥区,浙江省绍兴市柯桥区轻纺城大道1605号
美诺华,宁波美诺华药业股份有限公司,医药与生物科技,42935,4358,10.10%,宁波市,高新区,浙江省宁波市高新区扬帆路999弄1号1406室
钱江生化,浙江钱江生物化学股份有限公司,特种化工品,34414,4345,12.60%,嘉兴市,海宁市,浙江省海宁市海洲街道钱江西路178号钱江大厦
江丰电子,宁波江丰电子材料股份有限公司,电子设备,38922,4338,11.10%,宁波市,余姚市,浙江省余姚市经济开发区名邦科技工业园区安山路
创源文化,宁波创源文化发展股份有限公司,造纸,50629,4294,8.50%,宁波市,北仑区,浙江省宁波市北仑区庐山西路45号
迪贝电气,浙江迪贝电气股份有限公司,电子电气组件与设备,49230,4233,8.60%,绍兴市,嵊州市,浙江省嵊州市三江街道迪贝路66号
东方电缆,宁波东方电缆股份有限公司,电子电气组件与设备,159908,4202,2.60%,宁波市,北仑区,浙江省宁波市北仑区江南东路968号
迦南科技,浙江迦南科技股份有限公司,工业机械,27912,4197,15.00%,温州市,永嘉县,浙江省永嘉县瓯北镇东瓯工业园区
中欣氟材,浙江中欣氟材股份有限公司,特种化工品,26904,4178,15.50%,绍兴市,上虞市,浙江省绍兴市杭州湾上虞经济技术开发区
金盾股份,浙江金盾风机股份有限公司,工业机械,23658,4120,17.40%,绍兴市,上虞区,浙江省绍兴市上虞区章镇镇工业园区
航天通信,航天通信控股集团股份有限公司,服装与服饰,884278,4107,0.50%,杭州市,上城区,浙江省杭州市解放路138号航天通信大厦一号楼
今飞凯达,浙江今飞凯达轮毂股份有限公司,汽车零配件（IV）,171331,4051,2.40%,金华市,金东区,浙江省金华市工业园区仙华南街800号
中泰股份,杭州中泰深冷技术股份有限公司,工业机械,30691,4029,13.10%,杭州市,富阳市,浙江省富阳市东洲街道高尔夫路228号
三维股份,浙江三维橡胶制品股份有限公司,通用化工品,66033,3820,5.80%,台州市,三门县,浙江省台州市三门县海游街道下坑村
镇海股份,镇海石化工程股份有限公司,采油设备与服务,15260,3741,24.50%,宁波市,高新区,浙江省宁波市高新区星海南路36号
宋都股份,宋都基业投资股份有限公司,不动产投资开发,97077,3716,3.80%,杭州市,江干区,浙江省杭州市富春路789号宋都大厦五楼
中威电子,杭州中威电子股份有限公司,通讯设备,24146,3713,15.40%,杭州市,滨江区,浙江省杭州市滨江区西兴路1819号
诺邦股份,杭州诺邦无纺股份有限公司,服装服饰零售,37560,3691,9.80%,杭州市,余杭区,浙江省杭州市余杭经济技术开发区宏达路16号
美力科技,浙江美力科技股份有限公司,工业机械,27507,3660,13.30%,绍兴市,新昌县,浙江省新昌县新昌大道西路1365号
沪宁股份,杭州沪宁电梯部件股份有限公司,商用运载工具与车辆,19486,3613,18.50%,杭州市,余杭区,浙江省杭州市余杭区中泰街道水塔村
奥翔药业,浙江奥翔药业股份有限公司,医药与生物科技,13970,3591,25.70%,台州市,临海市,浙江省临海市化学原料药基地临海园区东海第四大道5号
润禾材料,宁波润禾高新材料科技股份有限公司,特种化工品,32252,3571,11.10%,宁波市,宁海县,浙江省宁海县胡陈乡开发区
凯恩股份,浙江凯恩特种材料股份有限公司,造纸,71999,3548,4.90%,丽水市,遂昌县,浙江省遂昌县妙高镇凯恩路1008号
宁波中百,宁波中百股份有限公司,百货零售,69084,3511,5.10%,宁波市,海曙区,浙江省宁波市海曙区和义路77号汇金大厦21层
万马科技,万马科技股份有限公司,通讯设备,28416,3471,12.20%,杭州市,临安市,浙江省杭州市临安市太湖源镇青云村
维科精华,宁波维科精华集团股份有限公司,电子电气组件与设备,112806,3319,2.90%,宁波市,海曙区,浙江省宁波市柳汀街225号月湖金贸大厦20楼
纵横通信,杭州纵横通信股份有限公司,软件与计算机服务,34040,3285,9.60%,杭州市,西湖区,浙江省杭州市西湖区文三路90号11层A1105-A1108室
中坚科技,浙江中坚科技股份有限公司,工业机械,34427,3276,9.50%,金华市,永康市,浙江省永康市经济开发区名园南大道10号
金鹰股份,浙江金鹰股份有限公司,服装与服饰,85085,3228,3.80%,舟山市,定海区,浙江省舟山市定海区小沙镇
海伦钢琴,海伦钢琴股份有限公司,娱乐用品,33428,3116,9.30%,宁波市,北仑区,浙江省宁波市北仑区龙潭山路36号
嘉澳环保,浙江嘉澳环保科技股份有限公司,化工品（II）,62522,3097,5.00%,嘉兴市,桐乡市,浙江省桐乡经济开发区
万通智控,万通智控科技股份有限公司,汽车零配件（IV）,23267,3053,13.10%,杭州市,余杭区,浙江省杭州市余杭区杭州余杭经济技术开发区振兴东路12号
横河模具,宁波横河模具股份有限公司,特种化工品,34868,2987,8.60%,宁波市,慈溪市,浙江省慈溪市新兴产业集群区宗汉街道新兴大道588号
盛洋科技,浙江盛洋科技股份有限公司,电子电气组件与设备,64438,2977,4.60%,绍兴市,越城区,浙江省绍兴市越城区人民东路1417号
精功科技,浙江精功科技股份有限公司,工业机械,55595,2817,5.10%,绍兴市,绍兴县,浙江省绍兴柯桥经济开发区柯西工业区鉴湖路1809号
生意宝,浙江网盛生意宝股份有限公司,互联网,26374,2812,10.70%,杭州市,拱墅区,浙江省杭州市莫干山路187号易盛大厦12F
威星智能,浙江威星智能仪表股份有限公司,燃气供应,31887,2742,8.60%,杭州市,拱墅区,浙江省杭州市拱墅区莫干山路1418-41号6号楼
汉鼎宇佑,汉鼎宇佑互联网股份有限公司,计算机服务,32579,2706,8.30%,杭州市,下城区,浙江省杭州市下城区永福桥路5号汉鼎国际大厦12楼、15楼
金利华电,浙江金利华电气股份有限公司,电子电气组件与设备,21777,2655,12.20%,金华市,金东区,浙江省金华市金东经济开发区（傅村镇）
佐力药业,浙江佐力药业股份有限公司,制药,59897,2647,4.40%,湖州市,德清县,浙江省湖州市德清县武康镇志远路
长川科技,杭州长川科技股份有限公司,工业机械,9873,2562,25.90%,杭州市,滨江区,浙江省杭州市滨江区江淑路799号3幢第一、第二全楼层和第三、四、五层A单元
跃岭股份,浙江跃岭股份有限公司,汽车零配件（IV）,56258,2535,4.50%,台州市,温岭市,浙江省温岭市泽国镇现代大道北侧
德创环保,浙江德创环保科技股份有限公司,废物处理与回收服务,56813,2435,4.30%,绍兴市,越城区,浙江省绍兴市袍江新区三江路以南
和仁科技,浙江和仁科技股份有限公司,软件,17511,2381,13.60%,杭州市,滨江区,浙江省杭州市滨江区西兴街道新联路625号
先锋电子,杭州先锋电子技术股份有限公司,工业机械,21847,2374,10.90%,杭州市,滨江区,浙江省杭州市滨江区滨安路1186-1号
莱茵体育,莱茵达体育发展股份有限公司,不动产投资开发,122821,2197,1.80%,杭州市,拱墅区,浙江省杭州市文三路535号莱茵达大厦20楼
集智股份,杭州集智机电股份有限公司,工业机械,8184,2094,25.60%,杭州市,余杭区,浙江省杭州市余杭区良渚街道七贤路1-1号
杭州园林,杭州园林设计院股份有限公司,建筑施工,9488,2080,21.90%,杭州市,西湖区,浙江省杭州市西湖区杨公堤32号
金固股份,浙江金固股份有限公司,商用运载工具与车辆,207376,2058,1.00%,杭州市,富阳市,浙江省富阳市富春街道公园西路1181号
三维通信,三维通信股份有限公司,通讯设备,72739,1978,2.70%,杭州市,滨江区,浙江省杭州市滨江区火炬大道581号
宁波精达,宁波精达成形装备股份有限公司,工业机械,22742,1959,8.60%,宁波市,江北区,浙江省宁波市江北投资创业园C区长阳路191号
杭州高新,杭州高新橡塑材料股份有限公司,特种化工品,44255,1909,4.30%,杭州市,余杭区,浙江省杭州市余杭区径山镇龙皇路10号
美都能源,美都能源股份有限公司,不动产投资开发,498637,1864,0.40%,杭州市,拱墅区,浙江省杭州市密渡桥路70号美都恒升名楼4楼
杭齿前进,杭州前进齿轮箱集团股份有限公司,工业机械,117528,1662,1.40%,杭州市,萧山区,浙江省杭州市萧山区萧金路45号
民丰特纸,民丰特种纸股份有限公司,造纸,119918,1467,1.20%,嘉兴市,秀洲区,浙江省嘉兴市?f里街70号
英飞特,英飞特电子(杭州)股份有限公司,电子电气组件与设备,52945,1362,2.60%,杭州市,滨江区,浙江省杭州市滨江区长河街道江虹路459号A座
大立科技,浙江大立科技股份有限公司,电子设备,22899,1214,5.30%,杭州市,滨江区,浙江省杭州市高新技术开发区（滨江）滨康路639号
美欣达,浙江美欣达印染集团股份有限公司,服装与服饰,56361,1035,1.80%,湖州市,吴兴区,浙江省湖州市美欣达路588号
向日葵,浙江向日葵光能科技股份有限公司,电子电气组件与设备,96633,1008,1.00%,绍兴市,越城区,浙江省绍兴袍江工业区三江路
信雅达,信雅达系统工程股份有限公司,软件,82886,468,0.60%,杭州市,滨江区,浙江省杭州市滨江区江南大道3888号
温州宏丰,温州宏丰电工合金股份有限公司,电子电气组件与设备,72517,196,0.30%,温州市,龙湾区,浙江省温州瓯江口产业集聚区瓯锦大道5600号
开尔新材,浙江开尔新材料股份有限公司,建材与构件,23147,140,0.60%,杭州市,滨江区,浙江省杭州市滨江区长河街道江虹路1750号润和信雅达国际创意中心A座30层
正元智慧,浙江正元智慧科技股份有限公司,软件与计算机服务,22895,77,0.30%,杭州市,西湖区,浙江省杭州市文一西路998号海创园18号楼8层
申科股份,申科滑动轴承股份有限公司,工业机械,10868,-113,-1.00%,绍兴市,诸暨市,浙江省诸暨市陶朱街道望云路132号
浙江广厦,浙江广厦股份有限公司,不动产投资开发,19806,-322,-1.60%,杭州市,西湖区,浙江省杭州市西湖区莫干山路231号锐明大厦15层
先锋新材,宁波先锋新材料股份有限公司,通用化工品,51435,-374,-0.70%,宁波市,鄞州区,浙江省宁波市鄞州区集士港镇山下庄村
报喜鸟,报喜鸟控股股份有限公司,服装与服饰,168440,-450,-0.30%,温州市,永嘉县,浙江省永嘉县瓯北镇报喜鸟工业区
东晶电子,浙江东晶电子股份有限公司,电子电气组件与设备,16815,-915,-5.40%,金华市,婺城区,浙江省金华市宾虹西路555号
宝鼎科技,宝鼎科技股份有限公司,工业机械,17385,-1107,-6.40%,杭州市,余杭区,浙江省杭州余杭区塘栖镇工业园区内
天目药业,杭州天目山药业股份有限公司,制药,8449,-1220,-14.40%,杭州市,余杭区,浙江省杭州市文二西路738号西溪乐谷3号楼
*ST圣莱,宁波圣莱达电器股份有限公司,消费电子产品,8257,-1727,-20.90%,宁波市,江北区,浙江省宁波市江北区金山路298号
宁波富邦,宁波富邦精业集团股份有限公司,铝业,59047,-2031,-3.40%,宁波市,鄞州区,浙江省宁波市鄞州区天童北路702号工业城办公大楼三楼
步森股份,浙江步森服饰股份有限公司,服装与服饰,26086,-2185,-8.40%,绍兴市,诸暨市,浙江省诸暨市枫桥镇步森大道419号
大东南,浙江大东南股份有限公司,特种化工品,77525,-2406,-3.10%,绍兴市,诸暨市,浙江省诸暨市陶朱街道千禧路5号
三变科技,三变科技股份有限公司,电子电气组件与设备,37239,-5669,-15.20%,台州市,三门县,浙江省三门县海游镇西区大道369号
中捷资源,中捷资源投资股份有限公司,工业机械,68363,-6197,-9.10%,台州市,玉环县,浙江省玉环县大麦屿街道兴港东路198号
波导股份,宁波波导股份有限公司,通讯设备,121968,-7986,-6.50%,宁波市,奉化市,浙江省奉化市大成东路999号
海越股份,浙江海越股份有限公司,石油勘探与开采,749420,-8854,-1.20%,绍兴市,诸暨市,浙江省诸暨市西施大街59号
贝因美,贝因美婴童食品股份有限公司,食品生产（IV）,200701,-35767,-17.80%,杭州市,滨江区,浙江省杭州市滨江区南环路3758号
,,杭汽轮B(200771),{d1},{d2},,杭州市,江干区,
